age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
32.0,186824,5.271432666,9.0,0,0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Whitess,Male,United-States,<=50K
43.0,117037,5.068323181,7.0,0,2042,40.0,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
39.0,367260,5.56497363,9.0,0,0,80.0,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
49.0,193366,5.286380113,9.0,0,0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
21.0,197200,5.294906911,10.0,0,0,40.0,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
31.0,84154,4.925074764,10.0,0,0,38.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,?,>50K
48.0,265477,5.424026901,12.0,0,0,40.0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
25.0,289980,5.462368046,9.0,0,0,35.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
35.0,56352,4.750909334,11.0,0,0,40.0,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,Puerto-Rico,<=50K
53.0,169846,5.230055323,9.0,0,0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
23.0,211678,5.325675724,10.0,0,0,40.0,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
49.0,268234,5.428513826,9.0,0,0,40.0,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
70.0,105376,5.022741709,10.0,0,0,40.0,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,United-States,<=50K
36.0,108293,5.034600385,9.0,0,0,24.0,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,United-States,<=50K
33.0,163003,5.212195597,13.0,0,0,40.0,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Philippines,<=50K
48.0,187715,5.273498978,9.0,0,0,46.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
34.0,304030,5.48291644,9.0,0,0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,<=50K
24.0,159567,5.20294308,,0,0,40.0,Private,?,?,Machine-op-inspct,Husband,White,Male,United-States,<=50K
17.0,65368,4.815365197,7.0,0,0,12.0,Private,11th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
60.0,85815,4.933563207,9.0,0,0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,<=50K
45.0,109434,5.039152274,13.0,0,0,55.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
40.0,170525,5.231788058,10.0,0,0,38.0,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
45.0,187666,5.273385597,11.0,0,0,45.0,Private,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
19.0,218956,5.340356851,10.0,0,0,24.0,?,Some-college,Never-married,?,Own-child,White,Male,Canada,<=50K
