"Feature Name","Feature Description",Industry,Usecase,Source
"Carrier On-timePickup","Indicator of ontime Pickup (1 indicates True; 0 indicates False)",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
"Carrier On-timeDelivery","Indicator of On-time Delivery (1 indicates True; 0 indicates False)",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
"Pickup LoadAction","Loading type at origin ('Drop &Hook’  or 'Live Load')",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
"Delivery LoadAction","Unloading at destination location ('Drop & Hook' or 'Live Unload')",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
"Origin MarketStrength Indicator","Rating by the carrier of the level of business at the origin (1=Under Sold,2=Normal, 3=Over Sold, 4=Restricted)",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
"Destination MarketStrength Indicator","Rating by the carrier of the level of business at the destination (1=Under Sold,2=Normal, 3=Over Sold, 4=Restricted)",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
Profit,"The Profit of a shipment based on a monthly view of costs, prices, and networkand market impacts.  This view of contribution is used for longer term pricing asopposed to daily, dynamic acceptance.",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
LOH,"Length of Haul, in miles",gaming,"customer churn prediction",https://dspace.mit.edu/bitstream/handle/1721.1/130953/Rehan_Jungsakulrujirek_Defining%20and%20Detecting%20Churn%20in%20Truckload%20Transportation.pdf?sequence=1&isAllowed=y
"Characters Level","Highest level of character before and after the event",gaming,"customer churn prediction",https://arxiv.org/pdf/1909.10851
Itempurchasefrequency,"Number of purchases in store",gaming,"customer churn prediction",https://arxiv.org/pdf/1909.10851
"Game-playingtime band","Time band with the largest number of activity logs for two weeks",gaming,"customer churn prediction",https://arxiv.org/pdf/1909.10851
first_present_transaction_time,"Time shows the time gap between the first transaction and the following one.",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
device.id,"Unique device id assigned by smartphone manufacturer (used as unique user id)",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
event,"Type of this record (play or purchase)",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
score,"Score of the play (when event is play)",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
purchase.price,"Purchase price (when event is purchase)",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
id,"Unique user ID (log-in ID)",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
play.id,"Unique ID of the play",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
play.duration,"Duration of the play",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
win,"Team’s win or loss",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
points,"Points earned from the play (accumulated points are used to rank players and announce topleaders in a leaderboard)",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
activeDuration,"Time difference between the last play and the first play in OP, the same as the relative time ofthe last play",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
bestScore,"Best score earned in OP",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
bestScoreIndex,"Index of the best score normalized by play count",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
bestSubMeanCount,"Difference between best score and mean score normalized by play count",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
bestSubMeanRatio,"Ratio between the best score minus mean score and the mean score",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
consecutivePlayRatio,"is less than C, and the total number ofRatio between the count of consecutive plays, where ciadjacent plays (C: a game specific duration threshold to distinguish whether two adjacent playsare consecutive plays or not)(",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
meanScore,"Mean score earned in OP",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
playCount,"Total number of plays of u in OP",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
sdScore,"Standard deviation (SD) of the scores in OP",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
worstScore,"Worst score earned in OP",gaming,"customer churn prediction",https://pdfs.semanticscholar.org/de8b/f11378cf64b9631508c26337f13630367365.pdf
"kyc compliance","KYC compliance",retail,"customer churn prediction",http://www.ijmlc.org/vol7/634-P16.pdf
"recency value","The last time the customer has made a transaction",retail,"customer churn prediction",http://www.ijmlc.org/vol7/634-P16.pdf
"monetary values","The revenue that is gained from a customer during lifecycle",retail,"customer churn prediction",http://www.ijmlc.org/vol7/634-P16.pdf
"recency value","The last time the customer has made a transaction",retail,"customer churn prediction",https://wps-feb.ugent.be/Papers/wp_12_790.pdf
quarter_frequency,"Average number of transactions by quarter",retail,"customer churn prediction",https://wps-feb.ugent.be/Papers/wp_12_790.pdf
quarter_monetary,"Average amount of value spent by customers in each quarter",retail,"customer churn prediction",https://wps-feb.ugent.be/Papers/wp_12_790.pdf
"forward category succession dummy variable","Represents a succession of first products' categories purchased in chronological order",retail,"customer churn prediction",https://wps-feb.ugent.be/Papers/wp_12_790.pdf
"backward category succession dummy variable","represents a succession of first products' categories purchased in reverse chronological order",retail,"customer churn prediction",https://wps-feb.ugent.be/Papers/wp_12_790.pdf
number_products_purchased,"Number of products purchased by customer",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
"mean purchased item","Average number of items purchased",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
"sum of basket value","Total amount spent in one transaction",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
"mean purchased value","Mean amount spent in one transaction",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
"total discount","Sum of the discount given in each purchase",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
"mean discount","Means Discount given for each basket",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
"unique articles","Amount of unique articles purchases in each basket",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
