ifa,age
4062a,28.0
13184a,43.0
32511a,39.0
18362a,24.0
10833a,24.0
3114a,44.0
9075a,54.0
25186a,28.0
795a,60.0
11149a,20.0
12276a,35.0
14318a,47.0
5251a,63.0
19933a,39.0
20483a,80.0
13896a,37.0
31713a,24.0
29560a,44.0
15240a,47.0
10546a,""
8490a,24.0
28376a,39.0
2671a,51.0
12234a,22.0
11333a,21.0
8072a,18.0
7724a,24.0
17586a,42.0
29961a,36.0
23956a,31.0
32403a,42.0
31148a,22.0
20570a,26.0
10869a,29.0
14564a,39.0
1078a,22.0
26222a,36.0
22488a,39.0
31968a,44.0
27893a,38.0
9047a,23.0
14029a,43.0
666a,42.0
32078a,32.0
15993a,28.0
3084a,28.0
28261a,43.0
1786a,42.0
2472a,24.0
13582a,55.0
16959a,42.0
10794a,67.0
10449a,64.0
10568a,47.0
17055a,60.0
18933a,63.0
30329a,17.0
28467a,18.0
1756a,25.0
4123a,44.0
11137a,46.0
28863a,20.0
21343a,28.0
14563a,38.0
13073a,18.0
10707a,37.0
27990a,36.0
12123a,27.0
27663a,51.0
11964a,24.0
27441a,51.0
1199a,18.0
9021a,20.0
20751a,37.0
25236a,36.0
4737a,25.0
3217a,34.0
1063a,54.0
11563a,41.0
3626a,35.0
26847a,36.0
16066a,23.0
8056a,30.0
14553a,56.0
32071a,18.0
1666a,39.0
10818a,35.0
4333a,36.0
13517a,45.0
19036a,26.0
31229a,31.0
25834a,38.0
32466a,66.0
359a,42.0
26407a,33.0
7745a,22.0
4831a,52.0
28199a,23.0
9228a,41.0
27296a,36.0
3890a,53.0
5140a,40.0
11107a,46.0
11671a,48.0
4719a,46.0
13342a,61.0
15481a,27.0
1644a,65.0
14379a,54.0
20908a,44.0
2075a,36.0
31366a,39.0
29785a,34.0
6758a,44.0
18998a,56.0
4162a,31.0
522a,50.0
31036a,28.0
17362a,29.0
17519a,47.0
3751a,29.0
21701a,47.0
29369a,49.0
6244a,47.0
17708a,58.0
15442a,67.0
26550a,67.0
18142a,79.0
12074a,32.0
21893a,65.0
24691a,72.0
23227a,51.0
20209a,33.0
26892a,45.0
12230a,23.0
15177a,74.0
13167a,53.0
9087a,42.0
15267a,18.0
35a,22.0
25356a,46.0
20834a,27.0
14259a,48.0
33a,45.0
26152a,54.0
18953a,30.0
10060a,32.0
24710a,48.0
21850a,25.0
24304a,25.0
25694a,49.0
16278a,34.0
12117a,43.0
21291a,53.0
17808a,21.0
32028a,46.0
46a,57.0
14757a,82.0
1393a,59.0
5466a,49.0
8860a,34.0
16677a,33.0
10704a,50.0
6507a,25.0
395a,34.0
31408a,24.0
166a,36.0
18310a,27.0
24836a,52.0
23387a,30.0
5086a,52.0
6470a,53.0
9237a,23.0
11485a,69.0
445a,27.0
30068a,31.0
31001a,43.0
17254a,24.0
26859a,66.0
27289a,24.0
29440a,32.0
27486a,28.0
5996a,26.0
27629a,44.0
6320a,38.0
16630a,46.0
2275a,48.0
12196a,27.0
14260a,39.0
25109a,44.0
18089a,47.0
29375a,23.0
22360a,20.0
13567a,43.0
27576a,51.0
6067a,47.0
11777a,35.0
13373a,25.0
356a,38.0
8540a,22.0
25584a,24.0
21199a,71.0
13395a,27.0
235a,28.0
12106a,32.0
18411a,43.0
17047a,56.0
17489a,52.0
19681a,28.0
32006a,39.0
15170a,32.0
16056a,36.0
4370a,22.0
25656a,39.0
21852a,18.0
6646a,43.0
30667a,17.0
5822a,53.0
14780a,39.0
25536a,25.0
9667a,29.0
6907a,50.0
11320a,19.0
17307a,30.0
1336a,33.0
31014a,50.0
6904a,54.0
27051a,27.0
19131a,58.0
21166a,46.0
3464a,17.0
14905a,28.0
2219a,34.0
7135a,37.0
7358a,32.0
15933a,52.0
28702a,64.0
22476a,41.0
23437a,50.0
7676a,24.0
11912a,42.0
18920a,46.0
17488a,28.0
27913a,25.0
25045a,18.0
9129a,18.0
14835a,42.0
3557a,67.0
546a,32.0
5362a,18.0
162a,25.0
13385a,63.0
6295a,30.0
21547a,21.0
18228a,34.0
7186a,41.0
23118a,44.0
29788a,44.0
15843a,18.0
489a,45.0
29154a,25.0
8899a,42.0
7351a,36.0
5817a,34.0
22591a,39.0
10713a,46.0
26953a,49.0
18814a,47.0
3918a,19.0
21331a,33.0
20298a,46.0
3613a,52.0
32302a,65.0
24475a,35.0
16599a,18.0
15926a,21.0
22563a,45.0
16361a,25.0
23180a,31.0
27228a,50.0
14056a,33.0
18331a,23.0
12537a,35.0
11469a,56.0
2974a,36.0
3620a,31.0
12188a,60.0
3012a,37.0
4250a,68.0
4296a,47.0
4550a,53.0
6142a,54.0
14463a,26.0
3628a,36.0
15973a,18.0
20208a,19.0
16339a,38.0
243a,24.0
20745a,49.0
24629a,56.0
18862a,53.0
28832a,49.0
31647a,34.0
30592a,21.0
12154a,31.0
11935a,34.0
18319a,43.0
888a,33.0
11525a,39.0
14917a,38.0
2903a,43.0
4279a,59.0
2212a,27.0
23022a,36.0
3304a,47.0
4424a,35.0
23588a,40.0
8657a,36.0
20943a,44.0
12097a,49.0
8574a,45.0
25630a,22.0
7967a,46.0
19301a,32.0
15216a,24.0
9275a,59.0
24553a,51.0
14389a,21.0
31370a,51.0
22190a,46.0
1390a,17.0
25851a,45.0
8478a,24.0
21a,40.0
509a,47.0
7912a,38.0
14719a,55.0
1996a,44.0
25566a,34.0
23902a,40.0
12290a,40.0
8589a,40.0
21419a,33.0
29628a,36.0
25927a,48.0
10404a,28.0
17243a,30.0
21767a,37.0
15450a,19.0
8411a,45.0
6074a,58.0
5071a,20.0
20644a,45.0
20431a,17.0
8799a,31.0
19399a,34.0
21270a,29.0
6180a,58.0
30990a,29.0
14125a,36.0
8168a,53.0
4833a,53.0
21723a,49.0
288a,50.0
27591a,36.0
10069a,28.0
21489a,20.0
28794a,35.0
15631a,27.0
32286a,44.0
17022a,29.0
3442a,20.0
14161a,27.0
9870a,34.0
20504a,35.0
27601a,39.0
16389a,35.0
30309a,35.0
13531a,39.0
20253a,39.0
26125a,43.0
20343a,39.0
1095a,21.0
13769a,37.0
3641a,63.0
13941a,28.0
8343a,33.0
17015a,47.0
2094a,51.0
21905a,42.0
21461a,18.0
3445a,59.0
25708a,53.0
4082a,27.0
23100a,20.0
1990a,30.0
18528a,48.0
30109a,18.0
24193a,34.0
21659a,39.0
26829a,39.0
24646a,28.0
30007a,43.0
28638a,27.0
12547a,39.0
30797a,40.0
18194a,52.0
2707a,27.0
1089a,42.0
2162a,21.0
9760a,47.0
17139a,21.0
28390a,31.0
18353a,47.0
22334a,42.0
1900a,23.0
14332a,36.0
14334a,22.0
1050a,36.0
12530a,65.0
22930a,37.0
14733a,47.0
27971a,62.0
11072a,58.0
20075a,46.0
31131a,51.0
6297a,22.0
13455a,56.0
11519a,44.0
26214a,19.0
12049a,22.0
3672a,75.0
17372a,31.0
20356a,37.0
7534a,26.0
19343a,26.0
18279a,55.0
17256a,48.0
11646a,18.0
21513a,32.0
1493a,45.0
16717a,55.0
14615a,22.0
13584a,34.0
1198a,59.0
32070a,36.0
9257a,36.0
6822a,44.0
11455a,25.0
26961a,44.0
25519a,43.0
7439a,36.0
6155a,27.0
8639a,30.0
27522a,47.0
7006a,26.0
24800a,51.0
24351a,43.0
10574a,44.0
15846a,46.0
15159a,30.0
3147a,32.0
22242a,27.0
4811a,40.0
15549a,53.0
10303a,25.0
4023a,31.0
9170a,37.0
8782a,55.0
20855a,50.0
31278a,39.0
10323a,35.0
5927a,42.0
3719a,19.0
21678a,22.0
29821a,48.0
28286a,27.0
31298a,30.0
11044a,34.0
28616a,46.0
20418a,42.0
5297a,35.0
16137a,69.0
9546a,50.0
16688a,23.0
