ifa,age,age2,empty,workclass,fnlwgt,logfnl,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,label
343a,1,1,,State-gov,1,5.076538502,HS-grad,1,Married-civ-spouse,Protective-serv,Husband,White,Male,7298,0,1,United-States,>50K,0
879a,1,1,,Private,1,5.070713731,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,1,United-States,>50K,0
1676a,1,1,,Private,1,4.579062985,Masters,1,Divorced,Exec-managerial,Unmarried,White,Male,0,0,1,United-States,<=50K,0
2053a,1,1,,Private,1,5.452310955,11th,1,Never-married,Other-service,Other-relative,Black,Male,0,0,1,United-States,<=50K,0
2713a,1,1,,Private,1,5.350362393,HS-grad,1,Never-married,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
3675a,1,1,,Private,1,4.742654445,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,?,0,0,1,United-States,>50K,0
3717a,1,1,,Private,1,5.457503427,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,1,United-States,>50K,0
4037a,1,1,,Private,1,5.299820976,Bachelors,1,Never-married,Exec-managerial,Own-child,White,Male,0,0,1,United-States,<=50K,0
4132a,1,1,,Private,1,5.346249279,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,1887,1,United-States,>50K,0
4181a,1,1,,Private,1,5.541694042,HS-grad,1,Never-married,Transport-moving,Own-child,Black,Male,0,0,1,Haiti,<=50K,0
4627a,1,1,,Self-emp-not-inc,1,5.44357588,Some-college,1,Separated,Handlers-cleaners,Own-child,White,Female,0,0,1,United-States,<=50K,0
5781a,1,1,,Private,1,5.534234314,Some-college,1,Divorced,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
6371a,1,1,,Private,1,5.013818548,Bachelors,1,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
6671a,1,1,,Private,1,4.438273303,11th,1,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
7261a,1,1,,Private,1,5.355859378,Some-college,1,Never-married,Sales,Own-child,White,Male,0,0,1,United-States,<=50K,0
7371a,1,1,,Private,1,5.222039797,Bachelors,1,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
8570a,1,1,,Private,1,5.344378518,HS-grad,1,Never-married,Sales,Not-in-family,White,Male,0,1590,1,United-States,<=50K,0
9144a,1,1,,Self-emp-not-inc,1,5.13485576,7th-8th,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,<=50K,0
9176a,1,1,,Private,1,5.076166939,11th,1,Never-married,Exec-managerial,Unmarried,White,Female,0,0,1,United-States,<=50K,0
9288a,1,1,,Private,1,5.254122516,Bachelors,1,Separated,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
9417a,1,1,,Federal-gov,1,5.120985,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
9827a,1,1,,Private,1,5.257896867,Bachelors,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,Iran,>50K,0
9851a,1,1,,Private,1,5.030959798,HS-grad,1,Never-married,Exec-managerial,Own-child,White,Male,0,0,1,United-States,<=50K,0
10567a,1,1,,Private,1,5.133976176,Some-college,1,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,1,United-States,>50K,0
11045a,1,1,,State-gov,1,5.073524065,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,>50K,0
12107a,1,1,,State-gov,1,5.240975845,Some-college,1,Separated,Tech-support,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
12399a,1,1,,Local-gov,1,,Masters,1,Divorced,Prof-specialty,Unmarried,White,Male,0,0,1,United-States,<=50K,0
