ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
27a,19,168294,5.226068633,9,0,0,40,0,0
32a,20,266015,5.424906126,10,0,0,44,0,0
38a,19,544091,5.735671542,9,0,0,25,0,1
52a,18,226956,5.355941669,9,0,0,30,0,1
71a,19,101509,5.006504549,10,0,0,32,0,0
79a,18,309634,5.490848643,7,0,0,22,0,1
81a,18,446839,5.650151071,9,0,0,30,0,0
104a,20,188300,5.27485032,10,0,0,40,0,1
107a,17,304873,5.484118964,6,34095,0,32,0,1
125a,19,301606,5.479439977,10,0,0,35,0,0
127a,20,111697,5.048041509,10,0,1719,28,0,1
139a,20,34310,4.535420718,10,0,0,20,0,0
143a,19,316868,5.500878383,10,0,0,30,0,0
179a,18,183930,5.264652571,9,0,0,12,0,0
202a,19,170653,5.232113927,9,0,0,40,0,0
206a,18,140164,5.146636483,7,0,0,40,0,1
210a,17,65368,4.815365197,7,0,0,12,0,1
226a,18,243313,5.386165314,9,0,0,40,0,1
244a,20,119156,5.076115916,10,0,0,20,0,0
254a,19,27382,4.437465166,10,0,0,40,0,0
257a,20,117789,5.071104735,9,0,0,40,0,1
267a,19,218956,5.340356851,10,0,0,24,0,0
272a,17,191260,5.281624151,5,1055,0,24,0,0
313a,19,860348,5.934674153,10,0,0,25,0,1
336a,17,270942,5.432876332,3,0,0,48,0,0
339a,19,104112,5.017500789,9,0,0,30,0,0
372a,17,89821,4.953377886,7,0,0,10,0,0
376a,20,350845,5.545115292,10,0,0,10,0,1
389a,19,25429,4.405329282,10,0,0,16,0,1
390a,19,232392,5.366221174,9,0,0,40,0,1
398a,20,137300,5.137670537,9,0,0,35,0,1
401a,20,416103,5.619200847,10,0,0,40,0,0
421a,20,61777,4.790826814,10,0,0,30,0,0
422a,17,175024,5.243097605,7,2176,0,18,0,0
432a,17,202521,5.306470063,7,0,0,40,0,0
446a,20,298227,5.47454696,10,0,0,35,0,0
449a,20,146538,5.16595026,9,0,0,40,0,0
450a,17,258872,5.413085079,7,0,0,5,0,1
451a,19,206399,5.314707589,9,0,0,40,0,1
477a,17,211870,5.326069467,5,0,0,6,0,0
497a,20,262749,5.419541072,10,0,0,40,0,0
507a,19,249609,5.39726024,10,0,0,8,0,0
518a,20,214635,5.331700543,10,0,0,24,0,0
566a,20,27337,4.436750853,9,0,0,48,0,0
573a,17,242718,5.385101985,7,0,0,12,0,0
577a,18,165532,5.218881962,8,0,0,25,0,0
588a,18,156764,5.195246336,7,0,0,40,0,0
602a,19,217039,5.33653778,10,0,0,28,0,0
610a,17,169658,5.229574343,6,0,0,21,0,1
636a,19,262601,5.419296376,9,0,0,14,0,1
651a,20,130959,5.11713535,10,0,0,20,0,0
665a,20,81145,4.909261765,10,0,0,25,0,1
669a,20,114746,5.059737555,7,0,1762,40,0,1
672a,17,80077,4.903507794,7,0,0,20,0,1
673a,17,368700,5.566673138,7,0,0,10,0,0
677a,17,102726,5.011680378,8,0,0,16,0,0
685a,18,59342,4.773362179,7,0,0,5,0,1
694a,20,316702,5.500650806,10,0,0,20,0,0
700a,19,475028,5.676719209,9,0,0,20,0,1
710a,18,208103,5.318278341,7,0,0,25,0,0
718a,19,378418,5.577971786,9,0,0,40,0,1
728a,20,299047,5.47573945,10,0,0,20,0,1
741a,19,192453,5.284324685,10,0,0,25,0,1
745a,17,316929,5.50096198,8,0,0,20,0,0
788a,18,231193,5.36397468,8,0,0,30,0,0
793a,18,196061,5.292391213,10,0,0,33,0,0
805a,17,193830,5.287420996,7,0,0,20,0,1
810a,20,138768,5.142289329,9,0,0,30,0,0
815a,17,32607,4.513310843,6,0,0,20,0,0
841a,17,198124,5.296937088,7,0,0,20,0,0
861a,18,216284,5.335024393,7,0,0,20,0,1
868a,17,368700,5.566673138,7,0,0,28,0,0
880a,19,376540,5.575811118,9,0,0,30,0,1
932a,19,52114,4.716954409,10,0,0,10,0,1
944a,18,293227,5.467203957,9,0,0,45,0,1
945a,20,241752,5.383370076,9,0,0,40,0,0
954a,18,177722,5.249741192,9,0,0,20,0,1
966a,20,323573,5.509972275,9,0,0,20,0,1
1001a,20,148294,5.17112358,10,0,0,40,0,0
1020a,19,117201,5.068931317,9,0,0,30,0,0
1032a,20,223515,5.349306674,12,0,1719,20,0,0
1036a,19,241616,5.38312569,9,0,2001,40,0,0
1049a,20,74631,4.872919261,10,0,0,50,0,1
1075a,17,220384,5.343180061,7,0,0,15,0,0
1076a,19,36012,4.556447241,10,0,0,20,0,0
1082a,19,167816,5.224833365,9,0,0,35,0,1
1098a,19,80710,4.906927347,9,0,0,40,0,1
1126a,20,117606,5.070429479,11,0,0,40,0,1
1141a,19,194608,5.289160689,10,0,0,20,0,1
1142a,20,230891,5.363407005,10,0,0,45,0,0
1160a,20,275691,5.440422589,9,0,0,28,0,0
1174a,20,411862,5.614751724,11,0,0,30,0,0
1195a,19,187161,5.272215357,10,0,0,25,0,1
1199a,18,240747,5.381560884,9,0,0,40,0,1
1215a,20,205839,5.313527663,10,0,0,16,0,0
1275a,20,232577,5.366566764,10,0,0,40,0,1
1313a,20,244689,5.388614446,10,0,0,25,0,1
1322a,20,114874,5.060221744,10,0,0,30,0,0
1326a,17,138507,5.141471723,6,0,0,20,0,0
1332a,20,324469,5.51117321,10,0,0,40,0,1
1348a,17,145886,5.164013617,7,0,0,30,0,1
1370a,20,444554,5.647924522,6,0,0,40,0,0
1384a,19,119075,5.07582059,10,0,0,50,0,0
1389a,19,194095,5.288014348,10,0,0,40,0,0
1390a,17,46496,4.667415593,7,0,0,5,0,0
1394a,19,234151,5.369496017,9,0,0,40,0,1
1421a,19,172582,5.236995498,10,0,0,50,0,0
1429a,19,213644,5.329690701,9,0,0,40,0,0
1434a,18,169882,5.230147365,10,594,0,15,0,1
1453a,17,333100,5.522574633,6,1055,0,30,0,0
1479a,17,197850,5.296336055,7,0,0,24,0,1
1500a,19,225775,5.353675851,10,0,0,40,0,0
1503a,20,32732,4.514972543,10,0,0,45,0,0
1509a,20,431745,5.635227317,10,0,0,14,0,1
1520a,17,32124,4.506829617,5,0,0,9,0,0
1524a,20,170800,5.232487866,10,0,0,40,0,1
1526a,20,231286,5.364149345,10,0,0,15,0,0
1547a,17,163494,5.213501819,6,0,0,30,0,0
1552a,17,130806,5.116627665,6,0,0,24,0,0
1561a,18,208447,5.318995649,8,0,0,6,0,0
1570a,20,174714,5.242327707,10,0,0,16,0,0
1571a,19,62534,4.796116209,13,0,0,40,0,1
1574a,19,124265,5.094348824,10,0,0,40,0,0
1593a,20,206671,5.315279541,10,1055,0,50,0,0
1599a,19,176570,5.246916917,7,0,0,60,0,0
1651a,19,323421,5.509768216,10,0,0,20,0,0
1659a,18,214617,5.33166412,10,0,0,16,0,0
1674a,20,180052,5.25539795,10,0,0,20,0,0
1685a,20,211466,5.32524055,9,0,0,80,0,0
1692a,17,103851,5.016410683,7,1055,0,20,0,1
1693a,19,375077,5.574120434,9,0,0,50,0,0
1702a,18,46247,4.665083566,10,0,0,15,0,1
1748a,20,154781,5.189717648,9,0,0,40,0,1
1760a,19,197384,5.295311946,10,0,0,10,0,1
1774a,17,158762,5.200746561,6,0,0,20,0,1
1779a,17,228373,5.358644757,6,0,0,30,0,0
1823a,19,418324,5.621512782,10,0,0,36,0,0
1824a,19,263338,5.420513533,10,0,0,45,0,0
1829a,19,286469,5.457077632,10,0,0,30,0,1
1858a,18,152545,5.183397977,9,0,0,8,0,1
1929a,20,164922,5.217278593,9,0,0,40,0,0
1945a,18,153405,5.185839515,7,0,0,25,0,1
1991a,19,365640,5.5630537,9,0,0,45,0,1
2037a,19,33487,4.524876242,10,0,0,40,0,1
2046a,17,60116,4.778990076,6,0,0,10,0,0
2053a,18,283342,5.452310955,7,0,0,20,0,0
2055a,20,170038,5.230545988,9,0,0,40,0,1
2059a,19,354104,5.549130833,9,0,0,30,0,0
2060a,20,176321,5.24630404,8,0,0,40,0,1
2062a,20,376474,5.575734988,10,0,0,32,0,0
2079a,19,125010,5.096944755,9,0,0,45,0,0
2106a,17,103810,5.016239191,8,0,0,40,0,0
2122a,20,108887,5.036976033,9,0,0,40,0,1
2127a,20,81853,4.913034601,10,0,0,15,0,1
2147a,18,98044,4.991421021,7,0,0,40,0,1
2163a,17,195262,5.290617733,7,0,0,17,0,0
2223a,20,96862,4.986153432,10,0,0,8,0,1
2249a,20,236769,5.37432484,10,0,0,40,0,0
2258a,20,218343,5.339139273,9,0,0,25,0,1
2273a,19,242941,5.385500815,10,0,1602,10,0,1
2279a,17,329783,5.518228264,6,0,0,10,0,1
2282a,18,120243,5.080059803,7,0,0,27,0,0
2291a,18,201901,5.30513847,9,0,1719,15,0,1
2293a,18,346382,5.539555315,7,0,0,15,0,0
2308a,20,217807,5.338071833,10,0,0,35,0,0
2336a,19,43285,4.636337422,10,0,0,20,0,1
2348a,18,675421,5.829574559,5,594,0,40,0,0
2360a,20,121313,5.083907343,6,0,0,40,0,0
2376a,20,242077,5.383953529,9,0,0,40,0,1
2382a,17,317681,5.501991241,7,0,0,10,0,0
2385a,19,172893,5.23777741,10,0,0,30,0,1
