ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
13a,23,122272,5.087327016,13,0,0,30,0,1
31a,23,190709,5.280371189,12,0,0,52,0,0
35a,22,311512,5.493474781,10,0,0,15,0,0
37a,21,197200,5.294906911,10,0,0,40,0,0
43a,24,172987,5.238013467,13,0,0,50,0,0
74a,23,211678,5.325675724,10,0,0,40,0,0
111a,24,432376,5.635861579,13,0,0,40,0,0
120a,22,102632,5.011282792,9,0,0,41,0,0
121a,21,199915,5.300845381,10,0,0,40,0,1
132a,24,43323,4.636718523,9,0,1762,40,0,1
154a,21,296158,5.471523469,9,0,0,35,0,0
157a,23,214542,5.331512325,13,0,0,40,0,0
177a,21,312956,5.495483282,9,0,0,40,0,0
240a,23,115458,5.06242403,9,0,0,40,0,0
243a,24,273905,5.43759996,12,0,0,50,0,0
285a,21,205759,5.313358841,9,0,0,40,0,0
294a,21,231931,5.365358801,10,0,0,45,0,0
299a,24,278130,5.444247836,9,0,0,40,0,0
302a,21,153718,5.186724725,10,0,0,25,0,1
315a,22,199698,5.300373715,10,0,0,15,0,0
316a,24,191954,5.283197167,10,0,0,40,0,0
318a,22,399087,5.601067581,3,0,0,40,0,1
327a,23,211601,5.325517716,11,0,0,15,0,1
345a,22,293364,5.467406819,10,0,0,40,0,1
365a,22,410439,5.613248621,9,0,0,55,0,0
368a,22,362589,5.559414625,12,0,0,15,0,1
378a,23,35633,4.551852388,10,0,0,40,0,0
386a,23,396099,5.597803746,9,0,0,25,0,1
412a,24,241951,5.383727421,9,0,0,40,0,1
428a,23,204653,5.311018115,9,0,0,72,0,0
439a,23,81281,4.909989038,10,0,0,40,0,0
443a,24,191073,5.281199322,9,0,0,40,0,0
459a,23,54012,4.732490259,9,0,0,60,0,0
465a,24,170070,5.230627712,13,0,0,20,0,1
472a,22,139883,5.145764938,10,0,0,40,0,0
478a,22,281432,5.449373477,10,0,0,30,0,0
480a,23,197904,5.296454572,9,0,0,35,0,1
498a,23,403107,5.60542034,3,0,0,40,0,0
501a,23,324960,5.511829906,9,0,0,40,0,0
506a,24,388093,5.588935809,13,0,0,40,0,0
519a,21,204226,5.310111031,10,0,0,35,0,1
523a,24,248344,5.395053672,10,0,0,50,0,0
549a,21,259510,5.414154098,9,0,0,36,0,0
564a,24,82804,4.918051317,9,0,0,40,0,1
571a,24,354351,5.549433663,9,0,0,40,0,0
586a,21,197747,5.296109904,10,0,0,24,0,1
595a,23,117789,5.071104735,13,0,0,40,0,1
597a,23,99399,4.997382015,10,0,0,25,0,1
612a,24,247564,5.393687491,9,0,0,40,0,0
613a,24,249909,5.397781897,9,0,0,50,0,0
621a,23,190483,5.279856222,13,0,0,20,0,1
637a,21,226181,5.35445612,13,0,0,40,0,0
643a,21,160968,5.206739548,10,0,0,40,0,0
652a,24,556660,5.745590015,9,4101,0,50,0,0
670a,24,172146,5.235896936,5,0,1721,40,0,0
676a,22,240817,5.381687142,9,2597,0,40,0,1
