ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
75a,79,124744,5.096019666,10,0,0,20,0,0
78a,67,212759,5.32788794,6,0,0,2,0,0
101a,76,124191,5.094090124,14,0,0,40,1,0
141a,61,66614,4.823565513,9,0,0,40,0,0
145a,70,105376,5.022741709,10,0,0,40,0,0
149a,64,181232,5.258234883,7,0,2179,40,0,0
158a,71,494223,5.693922953,10,0,1816,2,0,0
161a,68,38317,4.583391499,2,0,0,20,0,1
214a,60,85815,4.933563207,9,0,0,40,0,0
222a,64,187656,5.273362455,2,0,0,40,0,0
227a,60,24215,4.384084473,6,0,0,10,0,1
228a,66,167687,5.224499395,9,1409,0,50,0,0
229a,75,314209,5.497218621,11,0,0,20,0,1
230a,65,176796,5.247472435,9,0,0,40,0,1
268a,64,21174,4.325802909,9,0,0,40,1,0
271a,61,69867,4.844272096,9,0,0,40,1,0
284a,60,173960,5.240449399,13,0,0,42,0,1
296a,65,111095,5.045694513,9,0,0,16,0,0
317a,77,138714,5.142120295,10,0,0,40,0,0
320a,62,159841,5.203688188,9,0,0,24,0,1
325a,76,174309,5.241319811,14,0,0,10,0,0
326a,63,78383,4.894221881,9,0,0,45,0,0
330a,66,127921,5.106941846,9,2050,0,55,0,0
347a,67,36135,4.557928059,7,0,0,8,0,0
362a,62,270092,5.431511721,14,0,0,40,1,0
429a,63,222289,5.346917972,9,0,0,40,1,0
453a,60,245062,5.389275974,9,0,0,40,1,0
471a,60,201965,5.305276114,10,0,0,40,1,0
475a,67,49401,4.69373574,11,0,0,24,0,1
487a,63,401531,5.60371908,2,0,0,35,0,0
500a,72,303588,5.482284601,9,0,0,20,0,0
502a,62,114060,5.057133367,9,0,0,40,0,0
528a,74,99183,4.99643724,10,0,0,9,0,1
535a,67,231559,5.364661665,15,20051,0,48,1,0
553a,72,205343,5.312479903,7,0,0,40,0,1
556a,69,136218,5.1342345,7,0,0,40,0,1
581a,65,195733,5.291664053,10,0,0,30,1,0
593a,60,39352,4.59496681,4,0,0,48,1,0
603a,60,51290,4.710032699,4,0,0,40,0,1
623a,65,109351,5.038822759,5,0,0,24,0,1
642a,60,199378,5.299677235,9,0,0,40,0,0
648a,71,78277,4.893634173,9,0,0,15,0,0
657a,70,167358,5.223646477,5,1111,0,15,0,1
687a,66,149422,5.174414545,4,0,0,4,0,0
709a,60,177665,5.24960188,9,0,0,35,0,0
730a,65,118474,5.073623052,7,9386,0,59,1,0
787a,61,36671,4.564322753,9,0,2352,50,0,0
795a,60,31577,4.499370867,9,0,0,60,1,0
797a,61,128831,5.110020378,9,0,0,40,0,0
803a,68,315859,5.499493256,7,0,0,20,0,0
809a,64,270333,5.431899064,13,0,0,40,1,0
