ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
17a,25,176756,5.247374165,9,0,0,35,0,0
45a,25,289980,5.462368046,9,0,0,35,0,0
51a,25,32275,4.508866251,10,0,0,40,0,1
70a,25,200681,5.302506256,10,0,0,40,0,0
76a,27,213921,5.33025342,9,0,0,40,0,0
138a,27,163127,5.212525849,11,0,0,35,0,1
142a,27,232782,5.366949395,10,0,0,40,0,1
162a,25,252752,5.402694601,9,0,0,40,0,1
171a,27,124953,5.096746688,9,0,1980,40,0,0
174a,27,428030,5.631474209,13,0,0,50,0,0
176a,27,253814,5.404515573,9,0,0,25,0,1
220a,25,255004,5.406546993,6,0,0,40,0,0
233a,25,159732,5.203391929,10,0,0,42,0,0
265a,26,378322,5.577861597,7,0,0,40,0,0
274a,27,209109,5.320372725,14,0,0,35,0,0
289a,25,371987,5.570527763,13,0,0,40,0,1
295a,27,248402,5.395155088,13,0,0,40,0,1
307a,26,193945,5.287678588,12,0,0,45,0,0
311a,26,59306,4.773098633,13,0,0,40,0,0
332a,26,224563,5.351338202,13,0,0,40,0,0
341a,26,94936,4.977430929,12,0,0,40,0,0
352a,26,192262,5.283893456,9,0,0,40,0,0
371a,26,185885,5.269244346,10,0,0,15,0,1
383a,25,344991,5.537807766,10,0,0,40,0,0
392a,27,301302,5.479002014,13,0,0,50,0,0
399a,25,86872,4.93887982,13,0,0,55,1,0
426a,25,133373,5.12506792,9,0,0,60,0,0
435a,27,116358,5.065796248,10,0,1980,40,0,0
445a,27,405855,5.608370901,5,0,0,40,0,0
479a,27,161155,5.207243784,6,0,0,40,0,0
486a,25,189775,5.278239,10,0,0,20,0,1
499a,26,64293,4.808163691,10,0,0,35,0,1
505a,25,181054,5.257808124,13,0,0,40,0,1
517a,25,267044,5.426582825,10,0,0,20,0,1
532a,26,108658,5.036061707,9,0,0,40,0,0
544a,27,163862,5.214478251,9,0,0,40,0,0
545a,27,201872,5.305076086,10,0,0,50,0,0
575a,27,158156,5.199085672,16,0,0,70,0,1
580a,26,86646,4.937748518,10,0,0,45,0,0
584a,27,181659,5.259256919,9,0,0,40,0,0
596a,27,267147,5.426750302,9,0,0,40,0,0
599a,25,200408,5.301915054,10,2174,0,40,0,0
614a,26,208122,5.318317991,13,1055,0,40,0,0
615a,27,109881,5.040922603,13,0,0,20,0,1
641a,26,75654,4.878831895,9,0,0,55,0,0
655a,27,288341,5.4599064,9,0,0,32,0,1
663a,27,111900,5.048830087,10,0,0,40,0,0
667a,27,249362,5.396830273,10,3411,0,40,0,0
690a,26,167350,5.223625717,9,0,0,30,0,0
696a,25,202480,5.306382132,12,0,0,45,0,0
733a,26,181655,5.259247356,11,0,2377,45,0,0
734a,25,332702,5.522055412,11,0,0,15,0,1
744a,26,112847,5.052490018,11,0,0,40,0,0
756a,27,31757,4.501839469,11,0,0,38,0,0
771a,26,171114,5.233285544,10,0,0,38,0,1
798a,25,316688,5.500631607,9,0,0,40,0,0
833a,26,280093,5.447302255,10,0,0,40,0,0
837a,25,499233,5.698303285,9,0,0,40,0,0
852a,26,90980,4.958945932,11,0,0,55,0,1
854a,26,96467,4.984378773,13,0,0,40,0,1
883a,27,96226,4.983292433,9,0,0,70,0,0
904a,27,90270,4.955543442,12,0,0,40,0,0
911a,27,93235,4.969578975,9,0,0,30,0,0
922a,25,98155,4.991912427,10,0,0,40,0,0
961a,25,150062,5.17627073,10,0,0,45,0,0
976a,25,178326,5.251214668,10,0,0,40,0,1
1010a,26,109186,5.038166956,10,0,0,50,0,0
1033a,27,389713,5.590744893,10,0,0,40,0,0
1077a,27,137645,5.13876044,13,0,1590,40,0,1
1139a,27,138705,5.142092117,9,0,0,53,0,0
1151a,25,241626,5.383143664,9,0,0,30,0,0
1159a,26,227332,5.356660573,13,0,0,40,0,0
1190a,27,247507,5.393587486,13,0,0,35,0,0
1233a,27,175034,5.243122418,13,0,0,40,0,1
1272a,27,115831,5.063824806,10,0,0,40,0,0
1274a,25,323545,5.509934693,9,0,0,40,0,1
1296a,26,280093,5.447302255,3,0,1628,50,0,0
1308a,26,202203,5.305787595,3,0,0,40,0,1
1323a,27,190525,5.27995197,9,0,0,50,1,0
1331a,25,188488,5.275283706,9,0,0,40,0,0
1345a,26,195105,5.290268399,9,0,0,40,0,0
1371a,26,403788,5.606153408,12,0,0,40,0,0
1381a,25,208999,5.320144208,10,0,0,40,0,0
1383a,25,163101,5.212456624,13,0,0,45,0,0
1391a,27,29904,4.475729284,13,0,0,40,0,1
1451a,25,298225,5.474544047,9,0,0,50,0,0
1457a,25,221757,5.345877338,9,3325,0,45,0,0
1472a,25,98283,4.992478404,13,0,0,40,0,0
1478a,26,183077,5.262633787,11,0,0,40,0,1
1484a,26,256263,5.408685906,9,0,0,25,0,0
1488a,25,174592,5.24202434,9,0,0,25,0,1
1492a,26,101150,5.004965887,9,0,0,41,0,1
1495a,27,23940,4.379124146,9,0,0,40,0,0
1511a,25,224943,5.352072483,10,0,0,40,0,0
1519a,25,212495,5.327348716,13,0,1340,40,0,0
1525a,26,166295,5.220879191,13,0,2339,55,0,0
1541a,26,197156,5.294809998,9,0,0,30,0,1
1546a,27,168107,5.225585798,13,0,0,40,0,0
1550a,27,148069,5.170464143,6,0,0,40,0,1
1559a,25,352057,5.546612984,9,0,0,65,0,0
1581a,26,266912,5.4263681,9,0,0,50,1,0
1592a,26,46097,4.663672662,13,0,0,40,0,0
1615a,26,161007,5.206844758,13,0,0,30,0,0
1618a,26,310907,5.4926305,10,0,0,35,0,1
1634a,27,127796,5.106517261,3,0,0,35,0,0
1637a,27,284196,5.453617961,6,0,0,40,0,1
1653a,26,163189,5.212690881,9,0,0,40,0,0
1657a,26,211798,5.325921855,9,0,0,40,0,1
1679a,27,128059,5.107410106,10,0,0,50,0,0
1682a,26,238768,5.377976122,9,0,0,60,0,0
1691a,25,28520,4.455149521,9,0,0,40,0,1
1733a,26,314177,5.497174388,9,0,0,40,0,0
1735a,27,377680,5.577123987,11,0,0,50,0,0
1737a,26,294493,5.469074976,13,0,0,40,0,0
1749a,27,219371,5.341179215,9,0,0,35,0,1
1756a,25,169323,5.228715955,13,0,0,40,0,1
1770a,26,167350,5.223625717,10,3103,0,40,1,0
1821a,25,282063,5.450346121,4,0,0,40,0,0
1856a,25,190057,5.27888387,13,0,0,40,0,1
1859a,26,153434,5.185921607,9,0,0,24,0,0
1864a,25,176520,5.246793919,9,0,0,40,0,0
1884a,27,508336,5.706150867,13,0,0,48,0,0
1885a,27,263431,5.42066688,10,0,0,40,0,0
1890a,25,199545,5.30004085,10,0,0,15,0,1
1893a,26,33610,4.526468512,9,0,0,40,0,0
1898a,26,157249,5.196587892,7,0,0,40,0,0
1899a,25,109872,5.04088703,9,0,0,45,0,0
1904a,26,270276,5.431807483,9,0,0,40,0,1
1908a,26,219897,5.342219304,14,0,0,50,0,1
1909a,26,91683,4.962288816,6,0,0,35,0,0
1919a,25,125863,5.099898079,13,0,0,35,0,0
1925a,27,278581,5.444951493,13,0,0,40,0,1
1934a,25,211231,5.324757655,9,0,0,48,1,1
1935a,25,169990,5.230423374,9,0,0,40,0,0
1940a,26,103148,5.013460812,9,0,0,40,0,1
1959a,26,214303,5.331028251,13,0,0,50,0,1
1973a,26,122999,5.089901581,14,8614,0,40,1,0
1992a,26,236564,5.373948655,9,0,0,40,0,0
2006a,27,262478,5.419092908,9,0,0,30,0,0
2014a,27,113545,5.055168015,13,0,0,40,0,1
2035a,27,335764,5.52603413,7,0,0,35,0,0
2044a,27,208406,5.318910218,13,0,0,60,1,0
2076a,25,144259,5.159142917,9,0,0,40,0,0
2078a,25,305449,5.484938708,10,0,0,40,0,0
2088a,25,304032,5.482919296,9,0,0,36,0,0
2097a,26,125680,5.099266172,13,0,0,16,0,0
2108a,26,211265,5.324827554,10,0,0,35,0,1
2115a,25,90291,4.955644463,13,0,0,40,0,0
2124a,25,441591,5.645020214,13,0,0,40,0,0
