ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
9a,31,45781,4.660685275,14,14084,0,50,1,1
14a,32,205019,5.311794111,12,0,0,50,0,0
18a,32,186824,5.271432666,9,0,0,40,0,0
39a,31,84154,4.925074764,10,0,0,38,1,0
41a,31,507875,5.705756835,5,0,0,43,0,0
62a,32,293936,5.46825278,4,0,0,40,0,0
72a,31,309974,5.491325268,13,0,0,40,0,1
80a,31,125927,5.100118857,4,0,0,40,0,0
88a,33,202051,5.305461004,14,0,0,50,0,0
106a,32,317660,5.501962532,9,7688,0,40,1,0
109a,31,189265,5.277070309,9,0,0,40,0,1
128a,31,114937,5.060459857,12,0,0,40,1,0
153a,33,163003,5.212195597,13,0,0,40,0,1
180a,33,37274,4.571406001,13,0,0,65,0,0
189a,31,99928,4.999687195,14,0,0,50,0,1
221a,31,197860,5.296358005,10,0,0,40,0,0
234a,33,110978,5.045236894,10,0,0,40,0,1
248a,32,183916,5.264619513,9,0,0,34,0,1
258a,32,172579,5.236987948,9,0,0,30,0,1
269a,33,185480,5.268297087,13,0,0,45,0,1
270a,33,222205,5.346753827,9,0,0,40,1,1
292a,31,127595,5.105833656,9,0,0,40,0,1
344a,33,85043,4.929638572,9,0,0,20,0,0
350a,31,156464,5.194414429,13,0,0,25,0,0
351a,33,117963,5.071745809,13,0,0,40,1,0
353a,33,111363,5.046740922,13,0,0,40,1,0
377a,33,267404,5.427167899,9,0,0,40,0,1
410a,32,364657,5.561884555,10,0,0,50,0,0
413a,33,118500,5.07371835,10,0,0,40,0,1
415a,31,1033222,6.014193645,10,0,0,40,0,0
423a,32,92003,4.963801989,13,0,0,40,1,1
425a,33,228528,5.358939419,6,0,0,35,0,1
436a,33,208405,5.318908134,14,0,0,50,1,0
460a,32,115745,5.063502239,10,0,0,40,0,0
463a,32,132601,5.122546799,13,0,0,50,0,0
481a,33,111746,5.048231986,12,0,0,45,0,0
495a,33,178107,5.250680989,13,0,0,20,0,0
513a,32,37070,4.569022586,11,0,0,45,0,0
539a,31,41493,4.617974836,13,0,0,45,0,1
546a,32,84179,4.925203762,9,0,0,45,0,1
555a,33,319560,5.504552412,11,0,0,40,1,1
558a,31,323069,5.509295287,9,0,0,20,0,1
585a,31,340939,5.532676683,13,0,0,40,0,0
594a,31,168387,5.22630856,13,7688,0,40,1,0
601a,32,239824,5.379892642,13,0,0,40,0,0
629a,33,205469,5.312746307,10,0,0,40,1,0
638a,33,175697,5.244764346,13,15024,0,60,1,0
645a,31,55849,4.747015401,10,0,0,45,0,0
647a,31,402089,5.604322192,9,0,0,40,0,1
674a,33,182556,5.261396111,13,0,0,40,1,0
678a,32,226267,5.354621219,10,0,0,40,0,0
