ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
23a,35,76845,4.885615615,5,0,0,40,0,0
58a,35,56352,4.750909334,11,0,0,40,0,0
66a,36,155537,5.191833718,9,0,0,40,0,0
95a,34,226296,5.354676877,13,0,0,40,1,0
115a,36,102864,5.012263408,9,0,0,40,0,1
129a,35,129305,5.111615319,9,0,0,40,0,0
148a,36,108293,5.034600385,9,0,0,24,0,1
152a,34,198183,5.297066398,9,0,0,40,0,1
178a,34,483777,5.684645217,9,0,0,40,0,0
186a,34,304030,5.48291644,9,0,0,40,0,0
207a,36,128757,5.109770849,13,7298,0,36,1,0
208a,35,36270,4.559547556,9,0,0,60,0,0
213a,35,153790,5.186928097,10,0,0,40,0,1
231a,35,538583,5.731252641,7,3674,0,40,0,0
278a,35,190174,5.279151141,10,0,0,40,0,1
283a,34,175413,5.244061776,12,0,0,45,0,1
291a,36,200352,5.301793682,13,0,0,45,0,0
309a,35,193815,5.287387386,12,0,0,40,1,0
312a,34,142897,5.155023111,14,7298,0,35,1,0
314a,36,205607,5.313037896,13,0,0,40,1,1
323a,35,186110,5.269769709,9,0,0,45,0,0
343a,36,119272,5.076538502,9,7298,0,40,1,0
361a,36,348022,5.541606698,6,0,0,24,0,1
385a,36,117312,5.069342439,10,0,0,40,0,1
391a,35,220098,5.342616096,9,0,0,40,1,1
394a,34,98101,4.991673434,13,7688,0,45,1,0
395a,34,196164,5.292619309,9,0,0,35,0,1
404a,34,227689,5.35734205,11,0,0,64,0,1
416a,35,92440,4.965859937,8,0,0,50,1,0
419a,34,243867,5.387153036,7,0,0,40,0,0
420a,34,240283,5.380723046,9,0,0,40,0,1
427a,36,255191,5.406865354,14,0,1408,40,0,0
437a,34,284843,5.454605551,9,594,0,60,0,0
438a,34,117018,5.068252671,10,0,0,40,0,1
473a,35,285020,5.454875336,9,0,0,40,0,0
493a,35,32220,4.508125536,12,0,0,60,0,1
494a,34,187251,5.272424146,9,0,0,25,0,1
514a,34,337587,5.528385714,10,0,0,50,1,0
520a,34,108116,5.03388997,13,0,0,50,1,0
533a,36,197202,5.294911315,9,0,0,40,0,0
540a,34,190027,5.278815312,9,0,0,40,0,1
548a,35,233327,5.367964997,10,0,0,40,0,0
552a,36,27053,4.432215433,9,0,0,40,0,1
554a,35,229328,5.360457084,9,0,0,40,0,1
