ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
3a,38,215646,5.333741407,9,0,0,40,0,0
6a,37,284582,5.454207427,14,0,0,40,0,1
11a,37,280464,5.447877124,10,0,0,80,1,0
19a,38,28887,4.460702441,7,0,0,50,0,0
29a,39,367260,5.56497363,9,0,0,80,0,0
92a,37,286730,5.457473135,10,0,0,40,0,1
98a,37,202683,5.306817324,10,0,0,48,1,0
112a,38,65324,4.81507277,15,0,0,40,1,0
130a,39,365739,5.563171273,10,0,0,40,0,0
133a,38,120985,5.082731529,9,4386,0,35,0,0
134a,37,254202,5.405178963,13,0,0,50,0,0
136a,38,125933,5.100139549,14,0,0,40,1,0
185a,37,29054,4.463205932,10,0,0,42,1,0
205a,37,48211,4.68314614,9,0,0,35,0,1
212a,37,208358,5.31881018,9,0,0,40,1,0
216a,37,635913,5.803397703,13,0,0,60,1,0
218a,38,182609,5.261522178,13,0,0,50,0,0
239a,38,115076,5.060984758,14,0,0,70,1,0
245a,38,179488,5.254035418,10,0,1741,40,0,0
266a,37,257295,5.410431347,10,0,0,75,1,0
297a,37,57424,4.759093441,13,0,0,60,0,1
298a,39,157443,5.197123356,14,3464,0,40,0,1
300a,38,169469,5.229090267,9,0,0,80,0,0
321a,39,174308,5.24131732,9,0,0,40,0,0
342a,38,296478,5.471992472,11,7298,0,40,1,0
370a,39,481060,5.682199247,9,0,0,40,0,1
380a,38,172927,5.237862807,9,0,0,50,0,0
458a,38,351299,5.545676914,10,0,0,50,0,0
466a,37,126708,5.102804036,9,0,0,60,0,1
468a,38,33983,4.531261715,10,0,0,40,0,0
490a,38,91039,4.959227479,13,15024,0,60,1,0
510a,39,91996,4.963768945,9,0,0,40,0,1
521a,38,99146,4.996275197,13,15024,0,80,1,0
524a,37,186035,5.269594659,10,0,0,45,1,0
529a,38,190387,5.279637291,9,0,0,50,0,0
536a,39,207853,5.317756297,8,0,0,50,0,0
574a,37,22463,4.351467757,11,0,1977,40,1,0
616a,39,207824,5.317695699,9,0,0,60,0,0
628a,38,267556,5.427414695,9,0,0,64,0,0
654a,38,143774,5.157680356,10,0,0,45,0,1
682a,37,161141,5.207206054,11,0,0,40,1,0
755a,39,48093,4.682081869,9,0,0,40,0,0
760a,37,103408,5.014554139,9,0,0,40,0,0
772a,37,327323,5.514976523,3,0,0,32,0,0
774a,37,280282,5.447595208,11,0,0,24,1,1
828a,39,680390,5.832757922,9,0,0,24,0,1
848a,37,86551,4.93727209,13,0,0,45,1,0
849a,39,138192,5.140482902,13,0,0,40,0,0
869a,39,176186,5.245971396,10,0,0,50,1,0
878a,38,411797,5.614683178,11,0,0,40,0,1
879a,39,117683,5.070713731,9,0,0,40,1,0
884a,38,95336,4.979256926,13,0,0,50,1,0
894a,37,183800,5.264345507,13,7688,0,50,1,0
