ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
10a,42,159449,5.2026218,13,5178,0,40,1,0
15a,40,121772,5.085547439,11,0,0,40,1,0
20a,43,292175,5.465643053,14,0,0,45,1,1
21a,40,193524,5.286734832,16,0,0,60,1,0
24a,43,117037,5.068323181,7,0,2042,40,0,0
49a,41,101603,5.006906531,11,0,0,40,0,0
56a,43,237993,5.376564184,10,0,0,40,1,0
59a,41,147372,5.168414977,9,0,0,48,0,0
64a,42,116632,5.066817723,16,0,0,45,1,0
77a,40,32214,4.508044654,12,0,0,40,0,0
90a,43,410867,5.613701261,16,0,0,50,1,1
110a,42,124692,5.095838591,9,0,0,40,0,0
122a,40,118853,5.075010148,13,0,0,60,0,0
137a,43,56920,4.755264891,9,0,0,60,0,0
150a,43,174662,5.242198429,10,0,0,40,0,1
160a,42,228456,5.358802569,13,0,0,50,0,0
182a,43,114580,5.059108818,10,0,0,40,0,1
184a,40,286370,5.45692752,4,0,0,40,1,0
187a,41,143129,5.155727637,13,0,0,40,0,1
204a,42,254817,5.406228398,10,0,1340,40,0,1
232a,41,130408,5.115304234,9,0,0,38,0,1
237a,40,170525,5.231788058,10,0,0,38,0,1
238a,41,180138,5.255605337,13,0,0,50,1,0
241a,40,347890,5.541441945,13,0,0,40,1,0
242a,41,196001,5.292258287,9,0,0,20,0,1
249a,40,207578,5.317181323,12,0,1977,60,1,0
251a,41,112763,5.052166622,15,0,0,40,1,1
252a,42,390781,5.59193344,13,0,0,40,0,1
256a,42,303044,5.48150569,9,0,0,40,1,0
276a,43,477983,5.679412451,9,0,0,40,0,0
287a,41,220531,5.343469647,15,0,0,60,1,0
306a,43,173321,5.238851186,9,0,0,40,0,1
310a,41,34987,4.543906705,10,0,0,54,1,0
322a,43,50356,4.702051225,10,0,1485,50,0,0
328a,43,187728,5.273529053,10,0,1887,50,1,1
331a,41,206565,5.315056737,10,0,0,45,0,0
346a,43,241895,5.383626892,13,0,0,42,0,0
363a,43,180609,5.256739388,13,0,0,45,0,0
364a,43,174575,5.241982051,13,0,1564,45,1,0
373a,40,184018,5.264860306,11,0,0,38,1,0
406a,41,445382,5.648732661,14,0,1977,65,1,0
411a,41,42346,4.626812393,10,0,0,24,0,1
433a,40,204116,5.309877049,13,2174,0,40,0,1
440a,42,340148,5.531667922,10,0,0,40,0,1
454a,42,197583,5.295749575,12,0,0,40,1,0
456a,40,72887,4.862650075,11,0,0,40,1,0
482a,43,170721,5.232286946,10,0,0,20,0,0
484a,41,193626,5.286963674,9,0,0,40,0,1
491a,40,347934,5.54149687,9,0,0,35,0,1
496a,41,343121,5.535447299,9,0,0,36,0,1
508a,43,112131,5.049725695,10,0,0,40,0,0
527a,42,221172,5.344730145,13,0,0,40,1,0
534a,41,101739,5.007487465,12,0,0,50,1,1
567a,43,188436,5.275163877,14,5013,0,45,0,0
591a,42,137390,5.137955124,9,0,0,40,0,0
598a,42,214242,5.330904614,15,0,1902,50,1,0
604a,42,175674,5.24470749,5,0,0,40,0,0
633a,43,154374,5.188574157,10,15024,0,60,1,0
660a,43,174524,5.241855158,9,0,0,40,1,0
664a,43,194360,5.28860689,14,0,0,38,0,0
666a,42,341204,5.533014114,12,8614,0,40,1,1
668a,42,247019,5.392730359,9,0,0,40,1,0
689a,41,195124,5.29031069,14,0,0,35,0,0
693a,42,262425,5.419005206,10,0,0,50,0,0
707a,40,229148,5.360116071,8,0,0,40,0,0
714a,40,144995,5.161353026,11,4386,0,40,0,0
722a,41,125831,5.099787648,9,0,2051,60,0,0
725a,42,162140,5.209890169,13,7298,0,45,1,0
726a,43,177937,5.250266264,13,0,0,40,1,0
738a,43,260960,5.416573944,13,0,0,50,0,0
740a,42,279914,5.44702462,13,0,0,40,1,0
743a,42,151408,5.180148823,14,14084,0,50,1,1
746a,42,126319,5.101468679,13,0,0,40,1,1
779a,43,226902,5.355838324,13,0,0,50,1,0
781a,43,146908,5.167045446,10,0,0,40,0,0
783a,40,130760,5.116474912,11,0,0,50,1,0
784a,41,49572,4.695236441,10,0,0,60,0,0
785a,40,237601,5.375848264,13,0,0,55,1,1
786a,42,169628,5.229497542,10,0,0,38,0,1
792a,41,32185,4.507653513,13,0,0,40,0,0
800a,43,274363,5.438325543,13,0,1902,40,1,0
801a,43,154538,5.189035287,12,0,0,40,0,0
813a,43,94113,4.973649617,10,0,0,45,0,0
817a,41,254440,5.405585387,11,0,0,60,0,1
829a,43,233130,5.367598164,10,0,0,25,0,0
831a,42,257780,5.411249219,7,0,0,15,0,0
838a,41,180572,5.256650408,13,0,0,50,1,1
846a,43,102895,5.012394272,10,0,0,40,0,0
847a,40,33274,4.522105012,9,0,0,50,0,1
862a,43,191547,5.282275354,9,0,0,40,0,0
876a,41,194636,5.289223171,13,0,0,60,1,0
895a,42,177307,5.248725882,15,0,0,65,1,0
896a,40,170108,5.230724739,14,0,0,40,0,0
917a,43,158926,5.201194953,14,0,0,50,0,1
923a,42,274198,5.438064283,3,0,0,38,0,1
931a,42,162003,5.209523057,9,0,0,55,0,0
938a,41,132222,5.121303722,15,0,2415,40,1,0
947a,40,184682,5.266424569,10,0,0,40,0,1
949a,43,250802,5.399330995,10,0,0,35,0,0
952a,43,227065,5.356150197,14,0,0,43,1,0
956a,41,239683,5.379637232,6,0,0,30,0,0
960a,42,176286,5.246217824,12,0,0,40,1,0
978a,40,188693,5.275755789,14,0,0,35,1,0
