ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
7a,49,160187,5.204627268,5,0,0,16,0,1
8a,52,209642,5.321478294,9,0,0,45,1,0
30a,49,193366,5.286380113,9,0,0,40,0,0
36a,48,242406,5.384543365,7,0,0,40,0,0
40a,48,265477,5.424026901,12,0,0,40,0,0
44a,49,94638,4.976065554,9,0,0,40,0,1
54a,50,251585,5.400684744,13,0,0,55,1,0
63a,48,149640,5.1750477,9,0,0,40,0,0
69a,49,191681,5.282579066,10,0,0,50,1,0
82a,52,276515,5.441718695,13,0,0,40,0,0
87a,49,268234,5.428513826,9,0,0,40,1,0
97a,48,191277,5.281662752,16,0,1902,60,1,0
99a,48,171095,5.233237318,12,0,0,40,0,1
118a,49,197371,5.295283342,11,0,0,40,1,0
140a,49,81973,4.913670829,10,0,0,40,1,0
155a,52,252903,5.402953981,9,0,0,45,1,0
156a,48,187715,5.273498978,9,0,0,46,0,0
173a,51,96062,4.982551624,10,0,1977,40,1,0
203a,51,259323,5.413841037,13,0,0,50,1,0
217a,50,313321,5.495989504,12,0,0,40,0,1
260a,50,204518,5.310731537,4,0,0,40,0,0
288a,50,176609,5.247012831,10,0,0,45,0,0
290a,50,193884,5.287541971,4,0,0,40,0,0
301a,48,146268,5.165149323,13,7688,0,40,1,0
338a,49,71195,4.852449494,14,0,0,60,0,0
400a,52,132178,5.121159176,13,0,0,50,1,0
403a,50,288353,5.459924474,13,0,0,40,1,0
417a,52,190762,5.280491867,2,0,0,40,0,0
448a,51,56915,4.75522674,9,0,0,40,0,0
464a,50,193374,5.286398081,2,0,0,40,0,0
467a,52,35598,4.551425599,9,0,0,40,0,0
469a,49,192776,5.285052965,14,0,1977,45,1,0
485a,52,271749,5.434167955,8,594,0,40,0,0
503a,52,48925,4.689530834,10,0,0,40,0,0
511a,49,141944,5.15211704,11,0,1380,42,0,0
522a,50,196232,5.29276983,9,7688,0,50,1,0
565a,52,334273,5.524101299,13,0,0,60,1,0
572a,51,95469,4.979862374,9,0,0,40,0,0
589a,52,25826,4.412057147,6,0,1887,47,1,0
600a,49,136455,5.134989454,13,0,0,45,0,1
606a,48,45612,4.659079116,9,0,0,37,0,1
607a,51,410114,5.612904595,14,0,0,40,1,0
611a,52,200853,5.302878323,14,6849,0,60,0,1
618a,50,114117,5.057350346,9,0,0,32,0,0
619a,52,51048,4.707978732,13,0,0,55,0,0
630a,49,268090,5.428280615,13,0,0,26,1,0
632a,49,120451,5.08081041,6,0,0,40,0,1
640a,52,289436,5.461552548,16,0,0,60,1,0
646a,50,195322,5.290751163,16,0,0,40,1,0
671a,48,110457,5.043193244,10,0,0,40,0,0
675a,50,219420,5.341276211,9,0,0,50,1,0
724a,50,50459,4.702938639,9,0,0,42,1,0
765a,51,386773,5.587456149,13,0,0,55,1,0
791a,48,102102,5.009034249,11,0,0,50,1,0
807a,50,23780,4.37621185,14,0,0,40,0,0
821a,48,167159,5.223129764,11,0,0,40,0,0
843a,51,146813,5.166764513,10,0,0,40,1,0
855a,48,327886,5.515722874,16,0,0,50,1,0
860a,49,38563,4.586170812,13,0,0,56,1,1
863a,48,285335,5.455355047,7,0,0,50,0,0
874a,51,160724,5.206080732,13,0,2415,40,1,0
881a,49,72393,4.859696574,5,0,0,40,0,1
891a,48,144397,5.15955817,10,0,0,30,0,1
902a,51,175897,5.245258432,5,0,0,20,0,0
928a,51,138022,5.139948316,14,0,0,60,1,0
933a,51,241843,5.383533522,1,0,0,40,0,0
953a,51,269080,5.429881419,4,0,0,40,0,1
955a,51,133461,5.125354375,10,0,0,40,0,0
969a,48,164966,5.217394444,13,0,0,40,1,0
981a,49,123207,5.090635383,9,0,0,44,0,1
990a,51,122159,5.086925469,10,3325,0,40,0,1
993a,50,124793,5.096190225,9,0,0,30,0,0
998a,48,33109,4.519946064,13,0,0,58,1,0
1002a,50,168212,5.225856975,16,0,1902,65,1,0
1011a,51,220537,5.343481463,9,0,0,40,0,1
1013a,50,767403,5.885023493,9,3103,0,40,1,0
1016a,48,107373,5.030895087,4,0,0,40,0,0
1018a,51,191965,5.283222053,9,0,0,32,0,1
1022a,48,123075,5.090169844,14,0,0,35,1,0
1029a,48,207848,5.31774585,6,0,0,40,0,1
1030a,48,138370,5.141041941,14,0,0,50,0,0
1054a,52,44728,4.650579479,10,0,0,55,1,0
1059a,49,193960,5.287712175,14,0,1902,40,1,0
1065a,49,175958,5.245409017,10,0,0,80,1,0
1074a,48,55863,4.747124255,16,0,1902,46,1,1
1079a,49,31339,4.496085134,9,0,0,40,0,0
1125a,48,95244,4.978837626,10,0,0,35,0,1
1150a,50,293196,5.467158041,9,7298,0,40,1,0
1154a,51,302847,5.481223276,9,0,0,54,0,0
1162a,51,284329,5.453821158,9,0,0,40,0,0
1165a,50,133963,5.126984865,13,0,1977,40,1,1
1171a,51,241346,5.382640105,9,0,0,43,0,1
1172a,50,157043,5.196018583,7,0,0,40,0,1
1178a,50,356619,5.552204478,9,0,0,48,1,0
1181a,50,146015,5.164397473,9,0,0,40,1,0
1186a,51,165637,5.219157356,14,0,0,40,0,0
1191a,51,239155,5.378679465,11,0,0,40,0,0
1192a,48,182862,5.262123465,10,0,0,40,1,0
1196a,49,116892,5.067784789,13,0,0,40,0,1
1197a,51,176813,5.247514193,12,0,0,60,0,0
1200a,50,75472,4.877785859,9,4386,0,40,0,0
1217a,48,243631,5.386732548,10,7688,0,40,1,0
1222a,48,349151,5.54301329,9,0,0,40,0,0
1229a,50,358740,5.554779804,9,0,0,40,0,1
1232a,52,31838,4.502945778,9,0,0,40,0,1
1248a,49,148995,5.173171695,9,0,0,40,0,0
1251a,51,229465,5.360716453,14,15024,0,50,1,0
1252a,48,397466,5.599299984,10,0,0,60,0,0
1254a,52,202452,5.306322071,9,0,0,43,0,1
1268a,50,343748,5.53624018,10,0,0,35,0,0
1276a,51,152754,5.183992591,13,0,0,40,1,0
1281a,52,186785,5.271341997,9,0,1876,50,0,0
1285a,50,88926,4.949028758,9,5178,0,40,1,1
1290a,50,421132,5.624418243,9,0,0,40,0,0
1310a,49,125421,5.098370259,9,0,0,40,1,1
1314a,51,179646,5.254417552,9,0,0,40,0,1
1320a,48,55237,4.742230083,13,0,0,45,1,0
1328a,52,168381,5.226293084,9,0,0,40,1,1
1335a,51,146767,5.166628417,11,0,0,40,1,0
1362a,52,146378,5.165475809,9,0,0,40,1,0
1364a,51,203435,5.308425673,10,0,0,40,0,1
1366a,49,257764,5.411222263,9,0,0,40,0,1
1367a,49,171301,5.233759898,9,0,0,40,0,1
1369a,52,152234,5.182511659,9,99999,0,40,1,0
1399a,51,246519,5.391850397,6,2105,0,45,0,0
1400a,50,137815,5.139296489,9,0,0,60,1,0
1403a,50,113176,5.053754341,9,0,0,40,0,1
1411a,48,329778,5.51822168,9,0,0,40,0,1
1415a,52,173839,5.240147215,6,0,0,60,0,0
1431a,49,147322,5.168267606,11,0,0,40,0,1
1441a,50,175339,5.243878525,9,0,1672,60,0,0
1446a,50,30447,4.483544507,11,0,0,45,0,0
1449a,51,185283,5.267835574,10,0,0,45,1,0
1454a,49,125892,5.099998133,14,0,0,50,1,0
1461a,48,192945,5.285433529,9,7688,0,40,1,0
1468a,49,101320,5.005695181,14,0,0,75,0,1
1502a,49,50282,4.701412544,10,3325,0,45,0,0
1528a,48,176026,5.24557682,9,0,0,40,0,0
1529a,52,118025,5.071974009,13,99999,0,50,1,0
1533a,48,125421,5.098370259,14,0,0,40,1,1
1534a,49,245305,5.3897064,6,0,0,42,1,0
1535a,50,73493,4.866245976,10,0,0,40,0,1
1564a,51,154342,5.188484124,4,0,0,40,0,0
1575a,49,261059,5.41673867,6,2176,0,40,0,0
1576a,52,208137,5.318349291,11,0,0,40,0,0
1585a,48,65535,4.816473304,9,0,0,50,0,0
1587a,51,71046,4.851539631,10,0,0,45,0,0
1610a,50,21095,4.32417953,10,0,0,40,0,0
1621a,48,58683,4.768512308,10,0,0,70,1,0
1627a,51,126010,5.100405012,9,0,0,40,0,0
1628a,52,147876,5.169897695,13,15024,0,60,1,1
1641a,52,158993,5.201378004,9,0,0,38,0,1
1643a,48,126754,5.102961673,14,15024,0,40,1,0
1661a,49,107231,5.030320356,9,0,2002,40,0,0
1667a,50,160151,5.204529655,10,0,0,60,1,0
1669a,52,94391,4.974930587,9,0,0,40,0,0
1673a,51,120914,5.082476588,4,2961,0,40,0,0
1684a,50,140592,5.147960609,9,0,0,40,0,1
1696a,51,415287,5.618348336,9,0,1902,40,1,0
1697a,49,32212,4.50801769,9,0,0,43,0,1
1713a,49,105444,5.023021872,8,0,0,39,0,0
1722a,51,101119,5.004832766,9,0,0,70,0,0
1729a,49,186078,5.26969503,14,0,0,50,1,1
1743a,50,196963,5.294384651,4,0,0,30,0,1
1759a,51,167651,5.224406148,9,0,0,40,0,0
1766a,49,159816,5.203620257,13,99999,0,20,1,1
1772a,50,171338,5.233853693,10,99999,0,50,1,0
1773a,51,120173,5.079806903,11,3103,0,50,1,0
1775a,49,169818,5.229983722,9,0,0,40,1,1
1799a,50,159670,5.203223325,9,0,0,40,1,0
