Section Category,Section Name,Metric Name,Column Name,Definitions
Descriptor Statistics,,,,Summarizes the dataset with key statistical metrics and distribution plots.
Descriptor Statistics,Global Summary,,,Summarize the dataset dimensions and the attribute datatype
Descriptor Statistics,Statistics by Metric Type,Measures Of Counts,fill_count,Number of rows with non-null values in an attribute
Descriptor Statistics,Statistics by Metric Type,Measures Of Counts,fill_pct,fill_count divided by number of rows
Descriptor Statistics,Statistics by Metric Type,Measures Of Counts,missing_count,Number of rows with null values in an attribute
Descriptor Statistics,Statistics by Metric Type,Measures Of Counts,missing_pct,missing_count divided by number of rows
Descriptor Statistics,Statistics by Metric Type,Measures Of Counts,nonzero_count,Number of rows with non-zero values in an attribute (numerical)
Descriptor Statistics,Statistics by Metric Type,Measures Of Counts,nonzero_pct,nonzero_count divided by number of rows (numerical)
Descriptor Statistics,Statistics by Metric Type,Measures Of CentralTendency,,Represents the centre point or most likely value of an attribute
Descriptor Statistics,Statistics by Metric Type,Measures Of CentralTendency,mean,Arithmetic average of an attribute (numerical)
Descriptor Statistics,Statistics by Metric Type,Measures Of CentralTendency,median,50th percentile or middle value of an attribute (numerical)
Descriptor Statistics,Statistics by Metric Type,Measures Of CentralTendency,mode,Most frequently seen value of an attribute (Discrete = Categorical + Integer)
Descriptor Statistics,Statistics by Metric Type,Measures Of CentralTendency,mode_pct,mode divided by non-null values seen in an attribute (Discrete = Categorical + Integer)
Descriptor Statistics,Statistics by Metric Type,Measures Of Cardinality,unique_values,No. of distinct values in an attribute
Descriptor Statistics,Statistics by Metric Type,Measures Of Cardinality,IDness,Unique Values divided by non-null values seen in an attribute
Descriptor Statistics,Statistics by Metric Type,Measures Of Dispersion,,Describe the spread of a numerical attribute
Descriptor Statistics,Statistics by Metric Type,Measures Of Dispersion,stddev,Measures how concentrated an attribute is around the mean or average.
Descriptor Statistics,Statistics by Metric Type,Measures Of Dispersion,variance,Squared value of Standard Deviation
Descriptor Statistics,Statistics by Metric Type,Measures Of Dispersion,cov,Ratio of Standard Deviation & Mean
