Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Years,sales
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.095,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
NCD19,8.93,Low Fat,0.0,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,Non-Consumable,26,<=2k
FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDO10,13.65,Regular,0.012741088999999999,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDP10,"",Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDF32,16.35,Low Fat,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,<=2k
FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
DRI11,"",Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,Drinks,28,>2k
