ifa,age,workclass,fnlwgt,education,income,dt_1,dt_2
1a,, State-gov,77516,Bachelors,<=50K,1/8/16 5:59,1/16/16 5:59
2a,,Self-emp-not-inc,83311,Bachelors,<=50K,1/8/16 21:09,1/12/16 21:09
3a,38,Private,215646,HS-grad,<=50K,3/8/16 2:21,3/20/16 2:21
4a,53,Private,234721,11th,<=50K,3/8/16 6:31,3/14/16 6:31
5a,,Private,338409,Bachelors,<=50K,3/8/16 9:45,3/10/16 9:45
6a,37,Private,284582,Masters,<=50K,3/10/16 23:34,3/19/16 23:34
7a,49, Private,160187,,<=50K,3/12/16 0:04,3/15/16 0:04
8a,52,Self-emp-not-inc,209642,HS-grad,>50K,4/8/16 23:47,4/15/16 23:47
9a,31,Private,45781,Masters,>50K,5/8/16 9:23,5/10/16 9:23
10a,42,Private,159449,Bachelors,>50K,5/10/16 11:22,5/14/16 11:22
11a,37,Private,280464,Some-college,>50K,6/8/16 4:54,6/14/16 4:54
12a,30,State-gov,141297,Bachelors,>50K,6/8/16 9:24,6/17/16 9:24
13a,23,Private,122272,Bachelors,<=50K,6/11/16 15:57,6/18/16 15:57
14a,32,Private,205019,Assoc-acdm,<=50K,7/8/16 6:34,7/15/16 6:34
15a,40,Private,121772,Assoc-voc,>50K,7/18/16 5:38,7/21/16 5:38
16a,34,?,,?,<=50K,7/18/16 6:37,7/29/16 6:37
17a,25,Self-emp-not-inc,176756,HS-grad,<=50K,7/18/16 9:51,7/27/16 9:51
18a,32,Private,186824,HS-grad,<=50K,7/18/16 11:14,7/25/16 11:14
19a,38,Private,28887,11th,<=50K,7/18/16 11:44,7/30/16 11:44
20a,43,Self-emp-not-inc,292175,Masters,>50K,7/18/16 18:33,7/30/16 18:33
21a,40,Private,193524,Doctorate,>50K,7/18/16 20:13,7/25/16 20:13
22a,54,Private,302146,HS-grad,<=50K,7/18/16 20:54,7/20/16 20:54
23a,35,Federal-gov,76845,,<=50K,7/18/16 21:57,7/24/16 21:57
24a,43,Private,117037,11th,<=50K,7/18/16 22:01,7/30/16 22:01
25a,59,Private,109015,HS-grad,<=50K,7/19/16 4:14,7/28/16 4:14
26a,56,Local-gov,216851,Bachelors,>50K,7/19/16 5:22,7/31/16 5:22
27a,19,Private,168294,HS-grad,<=50K,7/19/16 5:22,7/29/16 5:22
28a,54,?,180211,Some-college,>50K,7/19/16 5:34,7/25/16 5:34
29a,39,Private,367260,HS-grad,<=50K,7/19/16 7:14,7/26/16 7:14
30a,49,Private,193366,HS-grad,<=50K,7/19/16 7:24,7/27/16 7:24
31a,23,Local-gov,190709,Assoc-acdm,<=50K,7/19/16 8:12,7/22/16 8:12
32a,20,Private,266015,Some-college,<=50K,7/19/16 8:41,7/21/16 8:41
33a,45,Private,386940,Bachelors,<=50K,7/20/16 3:52,7/25/16 3:52
34a,,?,,?,<=50K,7/20/16 9:57,7/28/16 9:57
35a,22,State-gov,311512,Some-college,<=50K,7/20/16 9:59,8/1/16 9:59
36a,48,Private,242406,11th,<=50K,7/21/16 5:47,8/2/16 5:47
37a,21,Private,197200,Some-college,<=50K,7/21/16 7:40,7/23/16 7:40
38a,19,Private,544091,HS-grad,<=50K,7/21/16 8:20,7/28/16 8:20
39a,31,Private,84154,Some-college,>50K,7/21/16 8:51,7/25/16 8:51
40a,48,Self-emp-not-inc,265477,Assoc-acdm,<=50K,7/21/16 23:46,7/30/16 23:46
41a,31,Private,507875,,<=50K,7/22/16 6:22,8/1/16 6:22
42a,53,Self-emp-not-inc,88506,?,<=50K,7/22/16 8:43,7/27/16 8:43
43a,24,Private,172987,Bachelors,<=50K,7/23/16 2:53,7/28/16 2:53
44a,49,Private,94638,HS-grad,<=50K,7/23/16 6:11,7/26/16 6:11
45a,25,Private,289980,HS-grad,<=50K,7/23/16 7:46,7/26/16 7:46
46a,57,Federal-gov,337895,Bachelors,>50K,7/24/16 1:50,7/27/16 1:50
47a,53,Private,144361,HS-grad,<=50K,7/24/16 7:02,8/3/16 7:02
48a,44,Private,128354,Masters,<=50K,7/24/16 8:36,7/28/16 8:36
49a,41,State-gov,101603,Assoc-voc,<=50K,7/24/16 10:11,7/28/16 10:11
50a,29,Private,271466,Assoc-voc,<=50K,7/26/16 18:12,8/6/16 18:12
51a,25,Private,32275,Some-college,<=50K,7/28/16 3:00,8/3/16 3:00
52a,18,Private,226956,HS-grad,<=50K,7/29/16 15:15,8/6/16 15:15
53a,47,Private,51835,Prof-school,>50K,7/30/16 21:45,8/6/16 21:45
54a,50,Federal-gov,251585,Bachelors,>50K,8/8/16 1:11,8/18/16 1:11
55a,,?,,?,<=50K,8/11/16 9:21,8/22/16 9:21
56a,43,Private,237993,Some-college,>50K,8/14/16 6:43,8/18/16 6:43
57a,46,Private,216666,5th-6th,<=50K,8/16/16 6:13,8/20/16 6:13
58a,35,Private,56352,Assoc-voc,<=50K,8/17/16 11:24,8/20/16 11:24
59a,41,Private,147372,HS-grad,<=50K,8/18/16 5:51,8/20/16 5:51
60a,30,Private,188146,HS-grad,<=50K,8/23/16 19:24,9/2/16 19:24
61a,30,Private,59496,Bachelors,<=50K,8/30/16 7:47,9/11/16 7:47
62a,32,?,293936,7th-8th,<=50K,8/31/16 8:33,9/4/16 8:33
63a,48,Private,149640,HS-grad,<=50K,9/9/16 22:52,9/20/16 22:52
64a,42,Private,116632,Doctorate,>50K,9/19/16 7:43,9/22/16 7:43
65a,29,Private,105598,Some-college,<=50K,9/25/16 23:57,10/7/16 23:57
66a,36,Private,155537,HS-grad,<=50K,9/26/16 1:50,10/5/16 1:50
67a,28,Private,183175,Some-college,<=50K,10/13/16 1:22,10/21/16 1:22
68a,53,Private,169846,HS-grad,>50K,10/13/16 6:06,10/21/16 6:06
69a,49,Self-emp-inc,191681,Some-college,>50K,10/14/16 4:56,10/23/16 4:56
70a,25,?,200681,Some-college,<=50K,10/14/16 9:09,10/16/16 9:09
71a,19,Private,101509,Some-college,<=50K,10/14/16 21:56,10/16/16 21:56
72a,31,Private,309974,Bachelors,<=50K,10/23/16 7:19,11/4/16 7:19
73a,29,Self-emp-not-inc,162298,Bachelors,>50K,10/28/16 2:37,11/5/16 2:37
74a,23,Private,211678,Some-college,<=50K,10/28/16 19:19,11/5/16 19:19
75a,79,Private,124744,Some-college,<=50K,11/9/16 3:21,11/17/16 3:21
76a,27,Private,213921,HS-grad,<=50K,11/9/16 11:38,11/17/16 11:38
77a,40,Private,32214,Assoc-acdm,<=50K,11/10/16 12:32,11/16/16 12:32
78a,67,?,212759,10th,<=50K,11/11/16 7:53,11/13/16 7:53
79a,18,Private,309634,11th,<=50K,11/15/16 1:25,11/21/16 1:25
80a,31,Local-gov,125927,7th-8th,<=50K,11/18/16 3:34,11/29/16 3:34
81a,18,Private,446839,HS-grad,<=50K,12/8/16 5:20,12/15/16 5:20
82a,52,Private,276515,Bachelors,<=50K,12/10/16 18:37,12/18/16 18:37
83a,46,Private,51618,HS-grad,<=50K,12/11/16 0:40,12/20/16 0:40
84a,59,Private,159937,HS-grad,<=50K,12/12/16 1:42,12/22/16 1:42
85a,44,Private,343591,HS-grad,>50K,12/13/16 23:05,12/22/16 23:05
86a,53,Private,346253,HS-grad,<=50K,12/14/16 2:02,12/19/16 2:02
87a,49,Local-gov,268234,HS-grad,>50K,12/15/16 6:20,12/21/16 6:20
88a,33,Private,202051,Masters,<=50K,12/19/16 9:13,12/31/16 9:13
89a,30,Private,54334,,<=50K,12/23/16 21:13,12/28/16 21:13
90a,43,Federal-gov,410867,Doctorate,>50K,12/24/16 22:00,1/5/17 22:00
91a,57,Private,249977,Assoc-voc,<=50K,12/26/16 16:08,12/31/16 16:08
92a,37,Private,286730,Some-college,<=50K,12/26/16 20:06,1/1/17 20:06
93a,,?,,?,<=50K,12/28/16 2:35,1/1/17 2:35
94a,30,Private,117747,HS-grad,<=50K,12/28/16 8:40,12/31/16 8:40
95a,34,Local-gov,226296,Bachelors,>50K,12/28/16 22:49,1/5/17 22:49
96a,29,Local-gov,115585,Some-college,<=50K,12/30/16 21:16,1/6/17 21:16
97a,48,Self-emp-not-inc,191277,Doctorate,>50K,12/31/16 13:06,1/12/17 13:06
98a,37,Private,202683,Some-college,>50K,1/3/17 7:26,1/9/17 7:26
99a,48,Private,171095,Assoc-acdm,<=50K,1/4/17 13:36,1/9/17 13:36
100a,32,Federal-gov,249409,HS-grad,<=50K,1/5/17 23:54,1/10/17 23:54
101a,76,Private,124191,Masters,>50K,1/6/17 20:34,1/14/17 20:34
102a,44,Private,198282,Bachelors,>50K,1/7/17 7:39,1/18/17 7:39
103a,47,Self-emp-not-inc,149116,Masters,<=50K,1/8/17 5:56,1/20/17 5:56
104a,20,Private,188300,Some-college,<=50K,1/10/17 2:48,1/17/17 2:48
105a,29,Private,103432,HS-grad,<=50K,1/10/17 3:23,1/22/17 3:23
106a,32,Self-emp-inc,317660,HS-grad,>50K,1/10/17 4:38,1/14/17 4:38
107a,17,?,304873,10th,<=50K,1/10/17 4:45,1/21/17 4:45
108a,30,Private,194901,11th,<=50K,1/10/17 5:15,1/17/17 5:15
109a,31,Local-gov,189265,HS-grad,<=50K,1/10/17 8:31,1/17/17 8:31
110a,42,Private,124692,HS-grad,<=50K,1/10/17 9:55,1/12/17 9:55
111a,24,Private,432376,Bachelors,<=50K,1/10/17 11:03,1/15/17 11:03
112a,38,Private,65324,Prof-school,>50K,1/11/17 8:50,1/18/17 8:50
113a,56,Self-emp-not-inc,335605,HS-grad,>50K,1/12/17 3:08,1/17/17 3:08
114a,28,Private,377869,Some-college,<=50K,1/12/17 7:34,1/15/17 7:34
115a,36,Private,102864,HS-grad,<=50K,1/20/17 2:17,1/22/17 2:17
116a,53,Private,95647,,<=50K,1/29/17 12:49,1/31/17 12:49
117a,56,Self-emp-inc,303090,Some-college,<=50K,1/31/17 1:39,2/9/17 1:39
118a,49,Local-gov,197371,Assoc-voc,>50K,1/31/17 7:15,2/10/17 7:15
119a,55,Private,247552,Some-college,<=50K,2/5/17 18:16,2/17/17 18:16
120a,22,Private,102632,HS-grad,<=50K,2/7/17 2:44,2/16/17 2:44
121a,21,Private,199915,Some-college,<=50K,2/7/17 7:46,2/15/17 7:46
122a,40,Private,118853,Bachelors,<=50K,2/8/17 6:38,2/12/17 6:38
123a,30,Private,77143,Bachelors,<=50K,2/10/17 3:25,2/21/17 3:25
124a,29,State-gov,267989,?,>50K,2/10/17 4:55,2/20/17 4:55
125a,19,Private,301606,?,<=50K,2/11/17 4:32,2/16/17 4:32
126a,47,Private,287828,?,>50K,2/12/17 9:24,2/22/17 9:24
