ifa,age,dupl_age,workclass,dupl_workclass,fnlwgt,logfnl,empty,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
343a,36,36,State-gov,State-gov,119272,,,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,7298,0,40,United-States,>50K
879a,39,39,Private,Private,117683,,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
1676a,43,43,Private,Private,37937,,,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States,<=50K
2053a,18,18,Private,Private,283342,,,11th,7,Never-married,Other-service,Other-relative,Black,Male,0,0,20,United-States,<=50K
2713a,20,20,Private,Private,224059,,,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
3675a,30,30,Private,Private,55291,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
3717a,44,44,Private,Private,286750,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,>50K
4037a,24,24,Private,Private,199444,,,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,15,United-States,<=50K
4132a,41,41,Private,Private,221947,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,United-States,>50K
4181a,23,23,Private,Private,348092,,,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,Haiti,<=50K
4627a,24,24,Self-emp-not-inc,Self-emp-not-inc,277700,,,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,<=50K
5781a,41,41,Private,Private,342164,,,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K
6371a,44,44,Private,Private,103233,,,Bachelors,13,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
6671a,19,19,Private,Private,27433,,,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
7261a,19,19,Private,Private,226913,,,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
7371a,42,42,Private,Private,166740,,,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
8570a,23,23,Private,Private,220993,,,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,1590,48,United-States,<=50K
9144a,59,59,Self-emp-not-inc,Self-emp-not-inc,136413,,,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,United-States,<=50K
9176a,27,27,Private,Private,119170,,,11th,7,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
9288a,42,42,Private,Private,179524,,,Bachelors,13,Separated,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K
9417a,42,42,Federal-gov,Federal-gov,132125,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United-States,>50K
9827a,33,33,Private,Private,181091,,,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,60,Iran,>50K
9851a,28,28,Private,Private,107389,,,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,32,United-States,<=50K
10567a,38,38,Private,Private,136137,,,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,50,United-States,>50K
11045a,47,47,State-gov,State-gov,118447,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
12107a,33,33,State-gov,State-gov,174171,,,Some-college,10,Separated,Tech-support,Not-in-family,White,Male,0,0,12,United-States,<=50K
12399a,43,43,Local-gov,Local-gov,241528,,,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
13415a,46,46,Private,Private,155659,,,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Germany,>50K
14413a,68,68,Private,Private,165017,,,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Italy,>50K
14947a,31,31,Local-gov,Local-gov,143392,,,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
15177a,74,74,?,?,292627,,,1st-4th,2,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,<=50K
15747a,31,31,Private,Private,181091,,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
15877a,42,42,State-gov,State-gov,167581,,,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
16005a,64,64,?,?,159938,,,HS-grad,9,Divorced,?,Not-in-family,White,Male,8614,0,40,United-States,>50K
16799a,51,51,?,?,146325,,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,28,United-States,<=50K
17315a,76,76,?,?,84755,,,Some-college,10,Widowed,?,Unmarried,White,Female,0,0,40,United-States,<=50K
17326a,28,28,Self-emp-not-inc,Self-emp-not-inc,149324,,,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,7,United-States,<=50K
17944a,36,36,Federal-gov,Federal-gov,192150,,,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
18584a,26,26,Private,Private,258550,,,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
18863a,37,37,Self-emp-not-inc,Self-emp-not-inc,107737,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
19713a,61,61,Private,Private,171429,,,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,36,United-States,<=50K
19973a,44,44,Local-gov,Local-gov,145522,,,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
20434a,37,37,Private,Private,66686,,,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
20761a,43,43,Private,Private,248094,,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
21477a,29,29,Private,Private,157612,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,14344,0,40,United-States,>50K
21529a,25,25,?,?,196627,,,11th,7,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
22154a,57,57,Private,Private,170287,,,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
22875a,49,49,Self-emp-not-inc,Self-emp-not-inc,199326,,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
23201a,35,35,Self-emp-not-inc,Self-emp-not-inc,37778,,,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,3103,0,55,United-States,<=50K
23390a,39,39,Private,Private,177277,,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K
23615a,31,31,Private,Private,175509,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
23694a,22,22,Private,Private,204226,,,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
24861a,23,23,Private,Private,447488,,,,5,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,35,Mexico,<=50K
25017a,30,30,Private,Private,299223,,,Some-college,10,Divorced,Sales,Unmarried,,Female,0,0,40,United-States,<=50K
25395a,36,36,Private,Private,337039,,,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,Black,Male,14344,0,40,England,>50K
25798a,28,28,Private,Private,277746,,,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
25818a,41,41,Private,Private,138975,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K
25943a,38,38,Private,Private,299810,,,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
26342a,35,35,Private,Private,174503,,,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
26520a,31,31,Private,Private,167319,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
27646a,59,59,Private,Private,170104,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K
27833a,38,38,Self-emp-inc,Self-emp-inc,189679,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
28057a,63,63,Private,Private,158199,,,1st-4th,2,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,44,Portugal,<=50K
28150a,43,43,Private,Private,219307,,,,5,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
28391a,47,47,Self-emp-inc,Self-emp-inc,337050,,,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
28573a,17,17,Private,Private,228253,,,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,10,United-States,<=50K
28825a,41,41,Private,Private,104334,,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
29575a,66,66,Local-gov,Local-gov,179285,,,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3432,0,20,United-States,<=50K
30629a,65,65,?,?,115513,,,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,5556,0,48,United-States,>50K
31059a,22,22,Private,Private,251073,,,,5,Never-married,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
31249a,34,34,Private,Private,130369,,,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Female,1151,0,48,Germany,<=50K
31445a,51,51,Self-emp-not-inc,Self-emp-not-inc,141388,,,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,<=50K
31463a,42,42,Private,Private,112607,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
31478a,47,47,Private,Private,217750,,,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,35,United-States,<=50K
31960a,17,17,Private,Private,24090,,,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,35,United-States,<=50K
32281a,49,49,Private,Private,255466,,,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K
32442a,53,53,Private,Private,304504,,,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1887,45,United-States,>50K
32462a,24,24,Private,Private,284317,,,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,32,United-States,<=50K
32463a,48,48,Self-emp-inc,Self-emp-inc,185041,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,50,United-States,>50K
628a,38,38,Self-emp-not-inc,Self-emp-not-inc,267556,5.427414695,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,<=50K
2291a,18,18,Private,Private,201901,5.30513847,,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,1719,15,United-States,<=50K
2385a,19,19,Private,Private,172893,5.23777741,,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,<=50K
3114a,44,44,Private,Private,198316,5.297357754,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
3125a,19,19,Private,Private,181546,5.258986685,,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
3252a,23,23,Private,Private,145651,5.163313471,,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,<=50K
3542a,39,39,Self-emp-not-inc,Self-emp-not-inc,188571,5.275474904,,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
4416a,38,38,Self-emp-not-inc,Self-emp-not-inc,357962,5.553836926,,,5,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
4530a,43,43,Private,Private,193494,5.286667503,,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
4773a,66,66,Local-gov,Local-gov,222810,5.347934679,,Some-college,10,Divorced,Other-service,Other-relative,White,Female,7896,0,40,*,>50K
4814a,59,59,Private,Private,252714,5.402629302,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30,Italy,<=50K
5442a,46,46,Private,Private,267107,5.42668527,,5th-6th,3,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,45,Italy,<=50K
5971a,45,45,Private,Private,205424,5.312651182,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
6094a,31,31,Private,Private,213750,5.329906123,,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
6309a,35,35,Private,Private,224566,5.351344003,,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
6375a,27,27,Private,Private,159724,5.203370178,,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
6792a,17,17,Private,Private,110723,5.044237844,,11th,7,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
7501a,35,35,Self-emp-not-inc,Self-emp-not-inc,31095,4.492690561,,Some-college,10,Separated,Farming-fishing,Not-in-family,White,Male,4101,0,60,United-States,<=50K
7897a,73,73,Local-gov,Local-gov,181902,5.259837474,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,10,Poland,>50K
8190a,23,23,?,?,234970,5.371012417,,Some-college,10,Never-married,?,Own-child,Black,Female,0,0,40,United-States,<=50K
8735a,31,31,Private,Private,137952,5.139728001,,Some-college,10,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,Puerto-Rico,<=50K
8801a,36,36,Local-gov,Local-gov,247807,5.39411357,,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
9275a,59,59,Self-emp-not-inc,Self-emp-not-inc,357943,5.553813874,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
9797a,39,39,Private,Private,74194,4.870368786,,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
10842a,50,50,Private,Private,162632,5.211206003,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
11068a,49,49,Local-gov,Local-gov,166039,5.220210109,,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
11435a,46,46,Private,Private,247043,5.392772553,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
11741a,49,49,Private,Private,177426,5.249017262,,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
11955a,24,24,Private,Private,24243,4.384586361,,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1590,40,United-States,<=50K
