ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
12a,30,141297,5.150132941,13,0,0,40,1,0
50a,29,271466,5.433715444,11,0,0,43,0,0
60a,30,188146,5.27449499,9,5013,0,40,0,0
61a,30,59496,4.774487768,13,2407,0,40,0,0
65a,29,105598,5.023655693,10,0,0,58,0,0
67a,28,183175,5.2628662,10,0,0,40,0,1
73a,29,162298,5.210313168,13,0,0,70,1,0
89a,30,54334,4.735071678,5,0,0,40,0,0
94a,30,117747,5.070949851,9,0,1573,35,0,1
96a,29,115585,5.062901477,10,0,0,50,0,0
105a,29,103432,5.014654922,9,0,0,40,0,0
108a,30,194901,5.289814067,7,0,0,40,0,0
114a,28,377869,5.577341264,10,4064,0,25,0,1
123a,30,77143,4.887296524,13,0,0,40,0,0
124a,29,267989,5.428116968,13,0,0,50,1,0
131a,28,69621,4.842740257,12,0,0,60,0,1
159a,29,191535,5.282248146,9,0,0,60,0,0
172a,28,175325,5.243843848,9,0,0,40,0,0
175a,28,149624,5.175001261,13,0,0,40,1,0
183a,30,633742,5.80191249,10,0,0,45,0,0
275a,30,70377,4.84743075,9,0,0,40,0,1
293a,29,220419,5.343249028,13,0,0,56,0,0
319a,29,423158,5.626502556,10,0,0,40,0,1
324a,29,200381,5.30185654,7,0,0,40,0,1
337a,30,94235,4.974212235,9,0,0,40,0,0
348a,30,151989,5.181812158,11,0,0,40,0,1
366a,28,92262,4.965022865,9,0,0,40,0,0
387a,29,134152,5.127597152,9,0,0,40,0,0
402a,28,108574,5.035725838,10,0,0,40,0,1
405a,28,166481,5.221364676,4,0,2179,40,0,0
407a,28,110145,5.041964787,9,0,0,40,0,0
409a,28,123147,5.090423836,10,0,1887,40,1,1
418a,30,426017,5.62942693,7,0,0,19,0,1
424a,29,188401,5.275083204,9,0,0,40,0,0
434a,30,29662,4.472200431,12,0,0,25,1,1
441a,29,363425,5.560414799,13,0,0,40,0,0
457a,30,180374,5.256173936,9,0,0,40,0,1
470a,30,118551,5.073905222,13,0,0,16,1,1
474a,30,303990,5.482859297,9,0,0,60,0,0
483a,28,70100,4.845718018,13,0,0,20,0,0
515a,28,189346,5.277256135,9,0,0,45,0,0
526a,28,85812,4.933548024,10,0,0,40,0,1
538a,29,102345,5.01006663,11,0,0,40,0,0
542a,29,133937,5.126900567,16,0,0,40,0,0
543a,30,237903,5.376399919,10,0,0,40,0,1
550a,28,184831,5.266774813,10,0,0,40,0,0
560a,30,152453,5.183135975,7,0,0,40,0,0
561a,28,114053,5.057106713,13,0,0,55,0,0
569a,29,110663,5.044002439,9,0,0,35,0,0
576a,29,350162,5.544269014,13,0,0,40,1,0
587a,29,34292,4.535192815,10,0,0,60,0,0
608a,29,182521,5.26131284,9,0,0,40,0,0
617a,30,369027,5.567058143,9,0,0,45,0,0
624a,29,34383,4.536343767,11,0,0,55,0,0
626a,30,124187,5.094076136,9,0,0,60,0,0
634a,30,103649,5.015565116,13,0,0,40,1,1
650a,30,169496,5.229159454,13,0,0,40,1,0
656a,29,71592,4.854864495,10,0,0,40,0,1
681a,29,92262,4.965022865,9,0,0,48,0,0
699a,30,189620,5.277884142,13,0,0,40,0,1
711a,28,296450,5.471951455,13,0,0,40,0,0
723a,29,271328,5.433494614,13,4650,0,40,0,0
749a,29,267034,5.426566561,7,0,0,40,0,0
751a,29,356089,5.551558558,13,7688,0,40,1,0
782a,28,196690,5.29378228,11,0,1669,42,0,1
811a,30,191571,5.282329766,9,0,0,36,0,1
823a,29,154411,5.188678236,11,0,0,40,0,0
824a,30,129227,5.111353262,9,0,0,40,0,1
864a,28,142712,5.154460492,10,0,0,70,0,0
870a,29,266855,5.426275344,13,0,0,40,0,0
890a,29,177119,5.248265152,11,2174,0,45,0,1
893a,28,164170,5.215293798,11,0,0,40,0,1
899a,30,87418,4.941600866,13,0,0,45,1,0
900a,28,109165,5.038083419,9,0,0,40,0,0
965a,28,57066,4.756377432,9,0,0,40,0,0
972a,28,161538,5.208274702,13,0,0,35,0,1
1027a,30,201624,5.304542226,13,0,0,45,0,0
1046a,28,187160,5.272213037,15,0,0,55,0,0
1053a,30,296453,5.47195585,13,7298,0,40,1,0
1057a,30,106742,5.028335336,8,0,0,75,0,0
1069a,30,181651,5.259237793,13,0,0,50,0,0
1086a,30,241259,5.382483523,11,0,0,40,0,0
1088a,29,201954,5.305252459,13,0,0,35,0,0
1099a,29,260729,5.416189339,9,0,1977,25,1,1
1108a,29,131088,5.117562938,9,0,0,25,0,0
1121a,29,140863,5.148796933,10,0,0,40,0,0
1130a,28,294936,5.469727786,13,0,0,45,0,0
1131a,30,347132,5.54049465,10,0,0,40,0,1
1147a,30,205733,5.313303959,10,0,0,60,0,1
1158a,28,445824,5.649163444,14,0,0,50,1,1
1194a,28,444304,5.647680223,13,0,0,40,0,0
