ifa,age,fnlwgt,logfnl,education_num,capital_gain,capital_loss,hours_per_week,income_label,gender_label
33a,45,386940,5.587643627,13,0,1408,40,0,0
48a,44,128354,5.108409407,14,0,0,40,0,1
53a,47,51835,4.714623103,15,0,1902,60,1,1
57a,46,216666,5.335790766,3,0,0,40,0,0
83a,46,51618,4.712801173,9,0,0,40,0,1
85a,44,343591,5.536041779,9,14344,0,40,1,1
102a,44,198282,5.297283291,13,15024,0,60,1,0
103a,47,149116,5.173524245,14,0,0,50,0,1
126a,47,287828,5.45913304,13,0,0,40,1,1
135a,46,146195,5.16493252,12,0,0,36,0,1
144a,45,196584,5.293548168,11,0,1564,40,1,1
151a,47,186009,5.269533958,10,0,0,38,0,1
163a,44,78374,4.894172013,14,0,0,40,0,1
181a,44,181344,5.258503191,10,0,0,38,1,0
211a,44,160943,5.206672092,9,0,0,40,0,0
219a,45,109434,5.039152274,13,0,0,55,0,0
250a,45,153141,5.185091479,9,0,0,40,0,0
259a,45,187666,5.273385597,11,0,0,45,0,1
277a,44,170924,5.232803048,10,7298,0,40,1,0
308a,46,83082,4.919506943,12,0,0,33,0,1
333a,47,178686,5.252090527,11,0,0,40,0,0
340a,45,261192,5.416959871,9,0,0,40,0,0
354a,46,329752,5.518187438,7,0,0,30,0,0
374a,45,256649,5.409339576,9,0,0,40,0,0
375a,44,160323,5.204995831,9,0,0,40,0,0
379a,46,80914,4.908023671,14,0,0,30,0,0
382a,46,214955,5.332347552,3,0,2339,45,0,1
384a,46,108699,5.036225549,10,0,0,40,0,1
388a,44,162028,5.209590071,10,0,2415,6,1,1
393a,46,277946,5.443960428,12,0,0,40,0,0
396a,44,115562,5.062815049,10,0,0,40,0,0
397a,45,96975,4.986659788,10,0,0,40,0,1
408a,46,317253,5.501405738,9,0,0,25,0,0
414a,46,188386,5.275048625,16,15024,0,60,1,0
430a,47,287480,5.458607636,14,0,0,40,0,0
442a,45,45857,4.661405639,9,0,0,28,0,1
444a,44,116632,5.066817723,10,0,0,40,1,0
447a,44,290521,5.46317753,9,0,0,40,0,1
452a,45,197332,5.295197518,10,0,0,55,1,0
455a,44,234885,5.370855283,9,0,0,40,1,1
461a,44,116632,5.066817723,12,0,0,40,0,0
476a,46,279196,5.445909192,13,0,0,40,0,1
