Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Years,sales
FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDO10,13.65,Regular,0.012741088999999999,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDP10,"",Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDF32,16.35,Low Fat,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
DRI11,"",Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,Drinks,28,>2k
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDC14,"",Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDC14,"",Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDV20,"",Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDV20,"",Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDX10,"",Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDM39,6.42,Low Fat,0.08949892599999999,Dairy,178.1002,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDS02,"",Regular,0.25539489600000004,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDS02,"",Regular,0.25539489600000004,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,<=2k
FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDI26,"",Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDY40,"",Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDY45,"",Low Fat,0.026015518999999997,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
