Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Years,sales
FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDO10,13.65,Regular,0.012741088999999999,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,<=2k
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDW12,"",Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,>2k
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,>2k
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDX10,"",Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDX10,"",Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDF09,"",Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDL04,19.0,Low Fat,0.11255650699999999,Frozen Foods,104.9622,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
