ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4
462643,Female,Yes,38,Yes,Engineer,"",Average,3.0,Cat_4
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6
462669,Female,Yes,40,Yes,Entertainment,"",High,6.0,Cat_6
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4
461230,Female,No,19,No,Executive,0.0,Low,"",Cat_3
459573,Male,Yes,70,No,Lawyer,"",Low,1.0,Cat_6
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6
461021,Female,"",58,No,Executive,1.0,Average,3.0,Cat_3
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2
467010,Male,No,26,No,Homemaker,9.0,Low,"",Cat_6
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
