ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6
461230,Female,No,19,No,Executive,0.0,Low,"",Cat_3
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
467010,Male,No,26,No,Homemaker,9.0,Low,"",Cat_6
467010,Male,No,26,No,Homemaker,9.0,Low,"",Cat_6
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6
463156,Female,Yes,79,No,Lawyer,"",High,2.0,Cat_6
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2
462267,Male,No,32,"",Doctor,8.0,Low,2.0,Cat_6
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,"",Cat_4
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6
466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6
461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3
461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6
466295,Female,Yes,42,No,Engineer,0.0,Low,"",Cat_6
466295,Female,Yes,42,No,Engineer,0.0,Low,"",Cat_6
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4
459478,Male,Yes,46,Yes,Artist,"",Low,1.0,Cat_6
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4
459390,Female,No,41,No,Artist,"",Low,2.0,Cat_6
459390,Female,No,41,No,Artist,"",Low,2.0,Cat_6
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6
465656,Male,Yes,78,No,Lawyer,1.0,Low,"",Cat_6
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6
462206,Female,No,29,Yes,Artist,"",Low,1.0,Cat_4
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6
466065,Male,"",19,No,Healthcare,9.0,Low,3.0,Cat_3
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3
464761,Female,Yes,50,No,Engineer,"",Average,4.0,Cat_2
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6
464613,Female,No,35,"",Artist,0.0,Low,3.0,Cat_6
464613,Female,No,35,"",Artist,0.0,Low,3.0,Cat_6
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3
