ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6
459573,Male,Yes,70,No,Lawyer,"",Low,1.0,Cat_6
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6
462384,Female,No,29,Yes,Healthcare,"",Low,1.0,Cat_7
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6
466567,Female,No,49,Yes,"",1.0,Low,1.0,Cat_6
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6
466466,Female,"",19,No,Healthcare,6.0,Low,5.0,Cat_3
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6
465656,Male,Yes,78,No,Lawyer,1.0,Low,"",Cat_6
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4
461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6
463595,Female,No,32,No,Healthcare,1.0,Low,5.0,""
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6
464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6
461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3
462691,Male,Yes,25,No,Doctor,"",Average,2.0,Cat_4
461825,Female,No,56,No,Engineer,"",Low,1.0,Cat_6
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2
467252,Female,No,33,Yes,"",0.0,Low,4.0,""
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6
462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2
460792,Female,No,42,No,Homemaker,11.0,Low,"",Cat_6
460144,Female,No,46,Yes,Doctor,1.0,Low,"",Cat_3
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6
461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3
